Player,Team,Position,FPts_gw1,FPts_gw2,FPts_gw3,FPts_gw4,FPts_gw5,FPts_gw6,FPts_gw7,FPts_gw8,FPts_gw9,FPts_gw10,FPts_gw11,FPts_gw12,FPts_gw13
Darwin Nunez,LIV,F,1.5,1.0,19.5,15.5,2.5,14.5,0.0,11.5,11.0,22.5,9.5,18.5,2.0
Facundo Pellistri,MUN,M,1.5,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,10.5,0.0,3.0
Ryan Yates,NOT,M,1.5,2.5,4.5,7.5,0.0,0.0,0.0,-2.0,1.5,3.5,0.0,0.0,3.5
Diego Carlos,AVL,D,1.25,4.5,4.0,-1.75,0.0,0.0,0.0,-0.75,0.0,-1.75,0.0,0.0,2.0
Bruno Guimaraes,NEW,M,1.0,-1.0,6.5,4.5,6.0,32.0,20.5,-2.5,7.5,7.0,6.5,0.0,5.0
Bernardo Silva,MCI,M,1.0,0.0,12.0,-2.0,26.5,0.0,0.0,1.5,3.5,18.5,30.0,12.5,10.0
Willian,FUL,F,1.0,0.0,0.0,0.5,15.5,5.5,3.5,26.0,6.5,4.5,4.5,5.0,25.5
Curtis Jones,LIV,M,1.0,0.0,0.0,0.5,1.5,5.0,-7.0,0.0,0.0,0.0,0.0,0.0,1.5
Josh Cullen,BUR,M,1.0,0.0,3.0,8.5,4.0,8.0,3.0,0.0,1.5,-1.0,0.0,0.0,1.0
Victor Lindelof,MUN,D,1.0,0.0,7.5,-2.0,1.0,7.5,-2.0,1.75,8.25,-0.75,0.0,24.75,16.0
Danny Ings,WHU,F,1.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.5
Mads Roerslev,BRF,D,1.0,1.0,0.0,0.0,6.75,1.75,5.0,2.25,2.0,8.5,1.5,-3.25,0.0
Philippe Coutinho,AVL,M,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesley Ugochukwu,CHE,F,1.0,0.0,0.0,0.0,5.0,3.5,0.0,0.0,0.0,1.5,-1.0,0.0,1.5
Lewis Dobbin,EVE,F,1.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
Thilo Kehrer,WHU,D,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Bruun Larsen,BUR,F,1.0,0.0,0.0,4.0,0.0,4.0,0.5,1.5,0.5,3.0,0.0,0.0,0.0
Cheikhou Kouyate,NOT,M,1.0,1.5,0.5,2.5,0.0,0.0,0.5,1.5,0.5,0.0,0.0,0.0,0.0
Serge Aurier,NOT,D,0.75,23.25,1.5,9.0,0.0,-4.25,1.25,5.25,6.0,6.5,3.75,1.5,0.0
Alfie Doughty,LUT,M,0.5,0.0,2.0,7.0,0.0,16.0,22.0,9.0,7.5,4.0,7.5,6.5,7.5
Kevin Schade,BRF,M,0.5,1.0,16.0,18.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Kluivert,BOU,M,0.5,5.5,3.0,2.5,4.0,2.5,1.0,0.0,0.0,0.0,0.0,6.0,23.5
Ian Maatsen,CHE,D,0.5,0.0,-2.5,3.5,0.0,0.0,2.75,0.0,0.0,1.5,0.0,0.0,0.0
George Baldock,SHU,D,0.5,0.0,-0.75,8.5,0.0,0.0,0.0,0.0,0.0,-4.0,6.5,0.5,17.25
Orel Mangala,NOT,M,0.5,3.5,0.0,2.5,2.0,0.0,6.0,5.0,5.5,-1.0,15.0,2.5,5.0
Davinson Sanchez,TOT,D,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kieffer Moore,BOU,F,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
Tom Cairney,FUL,M,0.5,0.0,1.0,0.0,0.5,0.0,4.5,6.0,3.0,0.0,1.0,1.0,12.5
James Hill,BOU,D,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Magalhaes,ARS,D,0.25,3.25,0.0,6.25,11.5,3.25,8.5,11.0,0.25,0.0,4.5,4.75,14.75
Jurrien Timber,ARS,D,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrone Mings,AVL,D,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Jesus,ARS,F,0.0,0.0,2.5,14.0,0.0,6.0,15.5,3.5,3.0,0.0,0.0,0.0,4.5
Jack Grealish,MCI,M,0.0,4.0,20.5,0.0,0.0,-2.5,1.0,0.0,3.5,9.0,0.0,0.5,0.0
Pedro Porro,TOT,D,0.0,12.75,10.75,10.5,8.0,-0.5,22.25,13.0,13.0,2.25,4.75,13.75,17.0
Ruben Dias,MCI,D,0.0,7.5,2.0,4.25,6.5,8.75,-1.25,-0.75,0.25,11.75,0.0,-3.0,2.5
Oleksandr Zinchenko,ARS,D,0.0,0.0,3.0,1.0,9.5,0.25,17.5,10.0,-2.0,9.5,5.0,25.25,15.25
Michael Olise,CRY,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,25.5
Rasmus Hojlund,MUN,F,0.0,0.0,0.0,0.0,3.5,1.5,7.5,1.5,4.0,6.0,4.5,2.0,0.0
James Ward-Prowse,WHU,M,0.0,18.0,16.5,13.0,19.5,11.5,23.5,5.0,11.0,6.5,5.0,25.5,7.5
Christopher Nkunku,CHE,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diogo Dalot,MUN,D,0.0,-1.0,2.75,0.0,3.5,12.5,6.5,16.75,17.25,-1.25,14.25,10.25,27.5
Jeremy Doku,MCI,F,0.0,0.0,0.0,6.0,24.5,6.0,15.5,4.0,18.0,2.0,52.0,5.0,23.0
John Stones,MCI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,12.5,7.5,0.0,0.0
Dwight McNeil,EVE,M,0.0,0.0,0.0,-0.5,-1.0,13.0,9.5,18.5,6.5,15.0,4.0,5.5,5.5
Dominic Calvert-Lewin,EVE,F,0.0,0.5,0.0,0.0,4.0,11.5,15.5,6.0,7.5,16.5,4.0,3.0,7.0
Ansu Fati,BHA,F,0.0,0.0,0.0,0.0,4.0,0.5,11.0,0.0,13.0,2.0,0.5,6.5,3.0
Moises Caicedo,CHE,M,0.0,3.0,6.5,1.0,0.0,4.5,6.5,6.5,3.5,3.0,3.0,4.0,-0.5
Mohammed Kudus,WHU,M,0.0,0.0,0.0,1.0,3.0,2.0,5.0,13.5,1.5,-1.5,23.5,3.5,25.0
Christian Eriksen,MUN,M,0.0,3.0,16.0,13.5,2.5,0.0,4.0,4.0,1.0,3.0,5.5,0.0,0.0
Jacob Ramsey,AVL,M,0.0,0.0,0.0,0.0,0.0,3.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Manor Solomon,TOT,F,0.0,1.0,0.0,28.0,12.5,1.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Moreno,AVL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Mee,BRF,D,0.0,0.0,0.0,1.75,2.25,0.0,0.0,0.0,0.0,0.0,0.5,1.0,10.0
Ivan Toney,BRF,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Brownhill,BUR,M,0.0,0.0,0.0,11.5,4.0,8.5,5.0,6.0,1.0,6.0,11.0,14.0,3.0
Gustavo Hamer,SHU,M,0.0,13.5,4.5,10.0,18.5,2.5,9.0,5.0,1.5,5.5,1.0,8.0,2.0
Malo Gusto,CHE,D,0.0,2.5,27.5,2.0,10.5,-4.0,0.0,0.0,-1.5,0.0,-1.75,-0.75,0.0
Marcus Tavernier,BOU,M,0.0,0.0,0.0,8.0,9.5,9.5,3.5,9.0,5.5,9.5,0.0,10.5,37.5
Joao Palhinha,FUL,M,0.0,-1.0,14.5,0.0,4.5,4.5,1.5,7.0,10.5,23.5,5.0,0.0,0.0
Julio Enciso,BHA,F,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Palmer,CHE,M,0.0,0.0,0.0,4.0,5.0,2.0,11.0,19.5,13.5,10.0,26.0,14.5,5.5
Callum Hudson-Odoi,NOT,F,0.0,0.0,0.0,0.0,22.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,11.0
Timothy Castagne,FUL,D,0.0,0.0,0.0,-2.0,14.0,14.5,-2.5,6.5,4.25,0.0,2.75,2.0,9.5
Sean Longstaff,NEW,M,0.0,1.0,7.0,10.0,6.0,18.5,9.0,-3.0,10.5,1.5,1.5,2.0,0.0
Fabio Vieira,ARS,M,0.0,0.0,18.5,8.0,6.0,0.0,3.0,0.0,0.0,13.0,-0.5,-7.0,0.0
Beto,EVE,F,0.0,0.0,0.0,9.0,2.0,8.5,3.5,1.5,6.0,0.0,0.0,2.5,0.0
Nicolo Zaniolo,AVL,M,0.0,0.0,2.0,4.5,3.5,6.0,1.5,-0.5,2.5,1.5,1.0,0.0,0.0
Sofyan Amrabat,MUN,M,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.5,5.0,0.0,0.0,0.0,0.0
Ryan Gravenberch,LIV,M,0.0,0.0,0.0,0.0,2.0,1.0,-0.5,4.5,8.0,3.0,10.5,0.0,3.0
Sergio Reguilon,MUN,D,0.0,0.0,0.0,0.0,0.25,5.0,0.0,0.0,0.0,-2.0,0.0,14.0,0.0
Joseph Gomez,LIV,D,0.0,1.25,6.5,12.25,4.25,8.25,2.0,2.0,2.0,0.0,12.75,0.0,0.0
Jack Harrison,EVE,M,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.5,1.5,11.5,0.0,12.0,6.0
Noni Madueke,CHE,F,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
Elliot Anderson,NEW,M,0.0,6.0,0.5,1.5,7.0,19.0,8.0,4.5,-0.5,0.0,0.0,0.0,0.0
Marc Cucurella,CHE,D,0.0,0.0,0.0,0.0,0.0,0.0,8.5,5.25,0.0,7.5,9.0,-2.5,-2.5
Dango Ouattara,BOU,F,0.0,0.0,0.0,0.0,6.0,4.0,2.0,3.5,4.0,-1.0,0.0,4.0,0.0
Joe Willock,NEW,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,9.0,0.0
Hamed Traore,BOU,M,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano Buendia,AVL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Matip,LIV,D,0.0,0.0,1.5,12.5,4.75,5.75,0.5,3.5,6.5,0.0,0.0,12.75,1.75
Oliver McBurnie,SHU,F,0.0,0.0,3.0,17.0,2.0,0.0,3.0,5.5,18.5,0.0,0.0,0.0,17.0
Rodrigo Bentancur,TOT,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0
Joao Cancelo,MCI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe,NOT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Hall,NEW,D,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Matt Doherty,WOL,D,0.0,0.0,0.0,0.0,-0.5,0.25,2.25,0.25,15.25,0.0,0.0,-1.0,0.75
Aaron Ramsey,BUR,M,0.0,0.0,0.0,0.0,0.0,9.0,-1.0,1.5,0.0,0.0,0.0,0.0,0.0
Edson Alvarez,WHU,M,0.0,1.5,3.0,7.5,-3.0,5.0,2.5,3.5,10.5,0.5,0.0,1.5,4.0
Pierre-Emile Hojbjerg,TOT,M,0.0,2.0,1.0,-2.0,0.0,0.0,0.0,1.0,3.5,1.5,4.0,4.0,4.5
Tariq Lamptey,BHA,D,0.0,0.0,0.0,-2.0,16.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0
Jarrad Branthwaite,EVE,D,0.0,0.0,5.5,6.0,5.75,4.0,3.5,12.75,7.0,14.5,1.75,4.0,4.0
Anthony Martial,MUN,F,0.0,2.0,2.0,4.5,2.0,0.0,4.5,1.5,-1.0,0.0,0.0,0.0,20.0
Demarai Gray,EVE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Archer,SHU,F,0.0,-2.0,0.0,15.5,0.5,2.5,4.0,5.0,7.5,0.0,13.5,5.0,3.0
Vitalii Mykolenko,EVE,D,0.0,0.0,0.0,0.0,4.75,7.0,9.5,11.75,6.0,16.5,17.75,20.25,-5.0
Benson Manuel,BUR,F,0.0,0.0,2.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannibal Mejbri,MUN,M,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benoit Badiashile,CHE,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Ibrahim Sangare,NOT,M,0.0,0.0,0.0,0.0,8.5,-1.0,4.5,4.5,1.0,7.0,4.0,7.5,0.0
Carlos Vinicius,FUL,F,0.0,0.0,0.0,0.0,10.5,0.0,4.5,8.0,1.5,0.0,2.0,-2.0,-2.5
Facundo Buonanotte,BHA,M,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,1.0,6.5,-2.0
Emile Smith Rowe,ARS,M,0.0,0.0,0.0,0.0,0.0,2.0,3.5,0.0,0.5,13.0,0.0,0.0,0.0
Aaron Cresswell,WHU,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
Ben Davies,TOT,D,0.0,9.75,0.0,0.0,0.0,0.0,1.0,1.25,0.0,2.5,0.0,6.75,6.25
Jean-Philippe Mateta,CRY,F,0.0,0.0,0.0,15.5,7.0,3.0,1.5,2.0,1.5,2.5,0.0,0.0,9.5
Armando Broja,CHE,F,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.5,0.0,0.0,0.0,8.0,0.0
Romeo Lavia,CHE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Barkley,LUT,M,0.0,0.0,1.5,12.0,0.0,0.0,0.0,0.0,0.5,10.5,10.0,6.5,-0.5
Jamaal Lascelles,NEW,D,0.0,0.0,0.0,0.25,0.0,0.0,12.25,2.75,15.5,-0.75,13.5,3.5,11.25
James Mcatee,SHU,M,0.0,0.0,0.0,0.0,6.5,5.0,-1.5,2.0,18.5,2.5,11.5,4.5,-0.5
Jayden Bogle,SHU,D,0.0,0.0,12.0,0.0,9.25,-1.0,-2.25,5.5,3.5,-6.25,1.5,10.75,-2.75
Chiedozie Ogbene,LUT,F,0.0,0.0,0.0,2.5,1.0,9.5,3.5,7.0,18.0,3.0,8.0,8.0,13.0
Tyler Adams,BOU,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Sinisterra,BOU,F,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.5,0.0,0.0,12.0,8.5,3.0
Giovani Lo Celso,TOT,M,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,20.0
Johann Gudmundsson,BUR,M,0.0,0.0,14.5,2.5,2.0,0.0,0.0,0.0,0.0,5.5,14.5,6.5,15.5
Adam Webster,BHA,D,0.0,3.5,-0.25,0.0,0.0,3.25,-5.5,0.0,0.0,7.75,0.0,-0.25,0.0
Jean-Ricner Bellegarde,WOL,M,0.0,0.0,0.0,0.0,4.5,-4.5,0.0,0.0,0.0,0.0,14.0,6.5,14.0
Jhon Duran,AVL,F,0.0,15.5,0.0,-0.5,12.5,-0.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.5
Jonny Evans,MUN,D,0.0,0.0,0.0,-2.5,0.0,21.0,0.0,6.5,2.25,-5.0,12.25,0.0,0.0
Wataru Endo,LIV,M,0.0,2.0,0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,-2.0
Valentino Livramento,NEW,D,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,2.0,0.75,6.5
Adama Traore,FUL,F,0.0,0.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
Matheus Franca,CRY,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0
Thiago Alcantara,LIV,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Maguire,MUN,D,0.0,0.0,0.0,-3.0,0.0,0.0,2.0,12.0,8.5,-2.0,18.25,14.75,15.0
Reiss Nelson,ARS,F,0.0,0.0,0.0,1.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Tahith Chong,LUT,M,0.0,0.0,3.5,0.0,0.0,0.0,0.0,5.0,3.0,1.0,12.0,0.5,1.0
Charlie Taylor,BUR,D,0.0,0.0,0.0,0.0,2.75,4.5,-3.25,-4.0,-2.25,7.5,2.25,4.5,2.25
Divock Origi,NOT,F,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,-0.5,0.0,0.0,0.0,2.0,0.0
Jorginho,ARS,M,0.0,1.0,1.0,0.5,0.0,1.0,0.0,-0.5,3.5,0.0,2.0,4.0,0.0
Reece Burke,LUT,D,0.0,0.0,-2.75,4.75,7.25,1.75,5.5,6.75,9.0,0.0,0.0,0.0,0.0
Wesley Fofana,CHE,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuno Tavares,NOT,D,0.0,0.0,0.0,0.5,1.25,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Montiel,NOT,D,0.0,0.0,0.0,0.25,-1.75,5.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0
Nicolas Dominguez,NOT,M,0.0,0.0,0.0,0.0,0.0,4.0,16.5,4.5,5.5,0.5,7.0,2.5,6.5
Vinicius de Souza Costa,SHU,M,0.0,9.5,2.5,2.5,8.0,3.5,5.5,4.0,2.0,7.0,3.5,3.0,2.0
Carlos Baleba,BHA,M,0.0,0.0,0.0,0.0,0.0,1.5,0.0,5.5,7.0,3.5,0.0,-1.0,0.5
Konstantinos Tsimikas,LIV,D,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,12.5,3.0,30.75,1.75
Romelu Lukaku,CHE,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Cook,BOU,M,0.0,0.0,5.0,0.5,15.5,6.0,5.5,5.5,-3.0,0.0,0.0,11.5,11.0
Folarin Balogun,ARS,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Hughes,CRY,M,0.0,0.0,0.0,1.5,6.5,10.0,2.0,1.0,6.0,8.0,2.5,2.0,0.5
Jakub Kiwior,ARS,D,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0
Kalvin Phillips,MCI,M,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Mike Tresor,BUR,F,0.0,0.0,0.0,0.0,2.0,2.5,0.0,1.5,4.0,0.0,0.0,0.0,0.0
Kieran Tierney,ARS,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Dier,TOT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.25,1.25,0.0
Keane Lewis-Potter,BRF,F,0.0,2.0,0.0,1.0,4.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrey Santos,NOT,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Podence,WOL,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Greenwood,MUN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Wood,NOT,F,0.0,11.0,5.0,0.0,-0.5,2.0,0.0,2.5,32.0,0.0,0.0,2.0,7.0
Jarell Quansah,LIV,D,0.0,0.0,0.0,1.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0
Calvin Bassey,FUL,D,0.0,-1.5,-7.5,0.0,0.0,0.0,0.0,2.0,-0.5,4.5,8.0,1.75,2.0
Konstantinos Mavropanos,WHU,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,0.0,0.0
Alex Scott,BOU,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,8.5,2.0,0.0,0.0
Dele Alli,EVE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clement Lenglet,AVL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kobbie Mainoo,MUN,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
Amad Diallo,MUN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Bajcetic,LIV,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divin Mubama,WHU,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jack Hinshelwood,BHA,M,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.5
Sergio Gomez,MCI,D,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Targett,NEW,D,0.0,0.0,-2.0,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Thomas,SHU,D,0.0,0.0,0.0,3.25,-1.0,-9.25,5.5,-0.25,-2.25,-6.5,3.5,2.0,-2.0
Ben Doak,LIV,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrell Malacia,MUN,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanguy Ndombele,TOT,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tosin Adarabioyo,FUL,D,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nathan Redmond,BUR,M,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,2.0,0.0,2.5,0.0,0.0
Albert Sambi Lokonga,LUT,M,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Lallana,BHA,M,0.0,2.0,2.0,-2.0,4.5,0.0,0.0,0.0,0.0,4.5,0.5,1.5,-1.0
Moussa Niakhate,NOT,D,0.0,1.0,1.0,0.0,0.0,-1.75,-2.5,0.0,0.0,-5.75,15.0,-3.25,-4.75
Fred,MUN,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevoh Chalobah,CHE,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Clark,LUT,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Maxwel Cornet,WHU,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Murillo,NOT,M,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.5,3.0,8.0,3.5,1.5,7.5
Ryan Sessegnon,TOT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lloyd Kelly,BOU,D,0.0,0.0,-1.75,0.0,14.0,4.0,0.0,0.0,-1.0,4.25,-8.75,8.0,8.0
Maximo Perrone,MCI,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igor Julio dos Santos de Paulo,BHA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-3.25,3.25,0.0,4.25,0.0
Rhian Brewster,SHU,F,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.5,1.0,0.0,0.0,0.0
Alejo Veliz,TOT,F,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.5,0.0,0.0,0.0,0.0
Conor Bradley,LIV,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Rodriguez,BUR,F,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.5,4.0,17.0
Hakim Ziyech,CHE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannes Delcroix,BUR,D,0.0,0.0,4.75,-1.75,0.0,0.0,0.0,-3.25,-0.75,0.0,0.0,0.0,0.0
Tommy Doyle,WOL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,-1.0,2.0,0.0
Marquinhos,ARS,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,CRY,M,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
Oscar Bobb,MCI,M,0.0,0.0,0.0,2.0,0.0,0.0,8.5,0.0,0.0,0.0,11.0,0.0,0.0
Rob Holding,CRY,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djed Spence,TOT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Dasilva,BRF,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Dennis,NOT,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toti,WOL,D,0.0,2.25,0.0,0.0,0.0,0.25,1.25,0.5,0.0,12.0,4.75,6.5,-1.75
Shola Shoretire,MUN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Harris,FUL,M,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boubacar Traore,WOL,M,0.0,0.0,0.0,0.5,0.0,1.0,1.0,2.0,4.0,0.5,3.5,0.0,0.0
Auston Trusty,SHU,D,0.0,0.0,0.0,0.0,-0.75,0.0,1.25,4.75,2.75,-6.25,3.75,4.25,2.25
