,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
13,MCI,WB,2,26.12,0.5,2.5,2.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,2.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,2.5,1.0,0.0,0.0,11.12,-1.5,1.0,1.0,45.88
2,ARS,RB,2,11.05,0.09,1.04,0.09,0.45,1.4,0.55,0.09,0.0,0.62,1.0,1.47,0.92,0.74,0.83,0.0,0.0,0.0,0.74,0.45,0.09,0.85,0.09,0.0,8.72,-1.52,0.57,1.0,34.56
8,LIV,LB,3,10.21,0.1,2.12,0.0,0.19,1.33,0.23,0.1,0.0,0.75,0.77,1.98,0.1,0.29,0.98,0.0,0.0,0.0,0.87,0.33,0.1,1.29,0.19,0.0,9.32,-2.04,0.46,1.0,30.01
19,TOT,RB,2,10.11,0.1,1.02,0.19,0.15,2.27,0.19,0.1,0.0,0.4,0.58,2.37,0.73,0.54,0.48,0.0,0.0,0.0,1.08,0.38,0.19,1.31,0.0,0.0,7.94,-2.44,0.44,1.0,30.89
16,MUN,RB,2,9.27,0.1,1.25,0.1,0.19,1.44,0.54,0.29,0.0,1.04,1.19,2.17,1.35,0.4,0.9,0.0,0.0,0.0,1.38,0.25,0.19,1.83,0.0,0.0,9.75,-3.62,0.56,1.0,22.93
7,LIV,CB,5,9.02,0.0,0.41,0.1,0.05,0.64,0.17,0.1,0.0,0.0,1.41,4.94,0.12,0.91,3.65,0.0,0.0,0.05,0.83,0.27,0.1,0.97,0.05,0.0,8.91,-2.17,0.46,1.0,24.07
4,CHE,LB,2,8.93,0.0,0.41,0.15,0.41,1.59,0.15,0.15,0.0,0.0,0.53,2.15,0.15,0.74,1.85,0.0,0.0,0.0,0.71,0.44,0.15,1.32,0.15,0.0,7.04,-1.78,0.56,1.0,24.7
9,LIV,RB,2,7.82,0.0,1.48,0.1,0.19,1.15,0.38,0.27,0.0,0.54,0.96,1.96,1.04,0.0,0.38,0.0,0.0,0.0,0.83,0.27,0.1,1.23,0.0,0.0,7.91,-2.38,0.46,1.0,22.95
11,MCI,LB,3,7.72,0.09,0.52,0.0,0.46,0.46,0.65,0.09,0.0,0.09,1.24,1.0,0.63,0.28,1.02,0.0,0.0,0.0,0.65,0.44,0.09,0.93,0.0,0.0,5.94,-1.81,0.37,1.0,20.41
6,CHE,WB,3,7.39,0.0,1.57,0.14,0.14,0.86,0.86,0.14,0.0,1.14,0.43,0.43,1.0,0.14,1.43,0.0,0.0,0.0,1.14,0.14,0.14,1.29,0.14,0.0,8.54,-3.0,0.71,1.0,30.67
12,MCI,RB,1,7.39,0.0,1.07,0.09,0.09,0.59,0.28,0.09,0.0,0.37,0.54,1.09,0.63,0.07,0.89,0.0,0.0,0.0,0.65,0.44,0.09,1.0,0.09,0.0,5.7,-1.62,0.37,1.0,19.56
17,TOT,CB,4,7.34,0.1,0.2,0.0,0.1,1.27,0.1,0.2,0.0,0.0,0.96,3.62,0.34,0.63,1.95,0.0,0.0,0.05,0.99,0.4,0.1,1.09,0.06,0.0,6.65,-2.67,0.43,1.0,25.26
5,CHE,RB,4,6.75,0.0,0.7,0.27,0.0,1.24,0.41,0.27,0.14,0.0,0.76,1.65,0.86,0.08,0.54,0.0,0.0,0.0,0.59,0.41,0.27,2.7,0.22,0.0,5.3,-2.88,0.51,1.0,17.95
10,MCI,CB,4,6.62,0.05,0.41,0.0,0.23,0.94,0.21,0.04,0.04,0.04,1.02,1.95,0.04,0.4,1.12,0.0,0.0,0.04,0.63,0.46,0.05,0.96,0.0,0.0,5.34,-2.0,0.39,1.0,13.66
18,TOT,LB,1,6.59,0.0,0.73,0.21,0.1,1.48,0.83,0.31,0.06,0.0,1.1,2.46,0.73,0.21,0.73,0.0,0.0,0.0,0.9,0.31,0.21,3.48,0.21,0.0,6.53,-3.27,0.48,1.0,22.59
3,CHE,CB,3,5.92,0.04,0.34,0.0,0.13,0.45,0.26,0.17,0.0,0.0,0.85,3.39,0.25,0.71,2.73,0.0,0.0,0.0,1.15,0.25,0.04,1.12,0.21,0.0,6.75,-2.77,0.57,1.0,19.96
0,ARS,CB,4,5.85,0.0,0.2,0.06,0.0,0.31,0.08,0.1,0.0,0.05,1.02,1.87,0.09,0.81,1.5,0.0,0.0,0.0,0.83,0.45,0.06,0.79,0.0,0.0,4.65,-1.91,0.57,1.0,17.2
14,MUN,CB,5,5.48,0.05,0.53,0.16,0.11,0.69,0.27,0.16,0.0,0.05,0.53,3.24,0.16,0.57,1.74,0.0,0.0,0.05,1.32,0.22,0.21,1.21,0.14,0.0,5.84,-3.36,0.51,1.0,10.85
1,ARS,LB,4,5.28,0.0,0.6,0.0,0.21,1.29,0.46,0.12,0.1,0.0,0.56,0.77,0.38,0.1,0.5,0.0,0.0,0.0,0.58,0.5,0.0,1.65,0.12,0.0,4.65,-2.38,0.62,1.0,16.88
15,MUN,LB,5,5.02,0.0,1.08,0.1,0.0,0.6,0.58,0.35,0.0,0.12,1.31,3.44,0.29,0.52,0.67,0.0,0.0,0.0,1.4,0.25,0.1,2.6,0.27,0.0,6.44,-3.6,0.56,1.0,9.67
