team,minute,score,player1,player2,event_type,game_id,home_team,away_team,home_team_score,away_team_score
Bournemouth,10,1:0,Antoine Semenyo,Ryan Christie,goal,19533403,Bournemouth,Aston Villa,1.0,0.0
Aston Villa,20,1:1,Leon Bailey,Ollie Watkins,goal,19533403,Bournemouth,Aston Villa,1.0,1.0
Aston Villa,46,1:1,Jacob Ramsey,Nicolo Zaniolo,substitute_in,19533403,Bournemouth,Aston Villa,1.0,1.0
Bournemouth,52,2:1,Dominic Solanke,Milos Kerkez,goal,19533403,Bournemouth,Aston Villa,2.0,1.0
Aston Villa,65,2:1,Jhon Duran,John McGinn,substitute_in,19533403,Bournemouth,Aston Villa,2.0,1.0
Bournemouth,70,2:1,Luis Sinisterra,Antoine Semenyo,substitute_in,19533403,Bournemouth,Aston Villa,2.0,1.0
Bournemouth,70,2:1,Philip Billing,Justin Kluivert,substitute_in,19533403,Bournemouth,Aston Villa,2.0,1.0
Aston Villa,74,2:1,Alex Moreno,Lucas Digne,substitute_in,19533403,Bournemouth,Aston Villa,2.0,1.0
Aston Villa,74,2:1,Moussa Diaby,Leon Bailey,substitute_in,19533403,Bournemouth,Aston Villa,2.0,1.0
Aston Villa,74,2:1,Matty Cash,Ezri Konsa,substitute_in,19533403,Bournemouth,Aston Villa,2.0,1.0
Bournemouth,83,2:1,Chris Mepham,Milos Kerkez,substitute_in,19533403,Bournemouth,Aston Villa,2.0,1.0
Aston Villa,90,2:2,Ollie Watkins,Moussa Diaby,goal,19533403,Bournemouth,Aston Villa,2.0,2.0
Bournemouth,90+3,2:2,Dango Ouattara,Marcus Tavernier,substitute_in,19533403,Bournemouth,Aston Villa,2.0,2.0
Bournemouth,17,1:0,Dominic Solanke,Philip Billing,goal,007b352e,Bournemouth,Wolves,1.0,0.0
Wolverhampton Wanderers,46,1:0,Tommy Doyle,Joao Gomes,substitute_in,007b352e,Bournemouth,Wolves,1.0,0.0
Wolverhampton Wanderers,47,1:1,Matheus Cunha,Pedro Neto,goal,007b352e,Bournemouth,Wolves,1.0,1.0
Bournemouth,57,1:1,Joe Rothwell,Alex Scott,substitute_in,007b352e,Bournemouth,Wolves,1.0,1.0
Bournemouth,57,1:1,Ryan Christie,David Brooks,substitute_in,007b352e,Bournemouth,Wolves,1.0,1.0
Bournemouth,75,1:1,Dango Ouattara,Marcus Tavernier,substitute_in,007b352e,Bournemouth,Wolves,1.0,1.0
Wolverhampton Wanderers,75,1:1,Pablo Sarabia,Toti Gomes,substitute_in,007b352e,Bournemouth,Wolves,1.0,1.0
Wolverhampton Wanderers,82,1:1,Sasa Kalajdzic,Matheus Cunha,substitute_in,007b352e,Bournemouth,Wolves,1.0,1.0
Bournemouth,85,1:1,Marcos Senesi,Milos Kerkez,substitute_in,007b352e,Bournemouth,Wolves,1.0,1.0
Bournemouth,85,1:1,Kieffer Moore,Dominic Solanke,substitute_in,007b352e,Bournemouth,Wolves,1.0,1.0
Wolverhampton Wanderers,88,1:2,Sasa Kalajdzic,Hwang Hee-chan,goal,007b352e,Bournemouth,Wolves,1.0,2.0
Tottenham Hotspur,3,0:1,Brennan Johnson,Pedro Porro,goal,1634f066,Wolves,Tottenham,0.0,1.0
Tottenham Hotspur,63,0:1,Rodrigo Bentancur,Pape Matar Sarr,substitute_in,1634f066,Wolves,Tottenham,0.0,1.0
Wolverhampton Wanderers,67,0:1,Matt Doherty,Nelson Semedo,substitute_in,1634f066,Wolves,Tottenham,0.0,1.0
Wolverhampton Wanderers,73,0:1,Sasa Kalajdzic,Jean-Ricner Bellegarde,substitute_in,1634f066,Wolves,Tottenham,0.0,1.0
Tottenham Hotspur,75,0:1,Bryan Gil,Brennan Johnson,substitute_in,1634f066,Wolves,Tottenham,0.0,1.0
Tottenham Hotspur,76,0:1,Giovani Lo Celso,Yves Bissouma,substitute_in,1634f066,Wolves,Tottenham,0.0,1.0
Wolverhampton Wanderers,87,0:1,Pablo Sarabia,Joao Gomes,substitute_in,1634f066,Wolves,Tottenham,0.0,1.0
Wolverhampton Wanderers,87,0:1,Tommy Doyle,Rayan Ait Nouri,substitute_in,1634f066,Wolves,Tottenham,0.0,1.0
Wolverhampton Wanderers,90+1,1:1,Pablo Sarabia,Matheus Cunha,goal,1634f066,Wolves,Tottenham,1.0,1.0
Wolverhampton Wanderers,90+7,2:1,Mario Lemina,Pablo Sarabia,goal,1634f066,Wolves,Tottenham,2.0,1.0
Newcastle United,31,0:0,Matt Ritchie,Miguel Almiron,substitute_in,641024cf,Bournemouth,Newcastle Utd,0.0,0.0
Newcastle United,46,0:0,Valentino Livramento,Lewis Hall,substitute_in,641024cf,Bournemouth,Newcastle Utd,0.0,0.0
Bournemouth,60,1:0,Dominic Solanke,,goal,641024cf,Bournemouth,Newcastle Utd,1.0,0.0
Newcastle United,66,1:0,Ben Parkinson,Lewis Miley,substitute_in,641024cf,Bournemouth,Newcastle Utd,1.0,0.0
Bournemouth,68,1:0,Luis Sinisterra,Justin Kluivert,substitute_in,641024cf,Bournemouth,Newcastle Utd,1.0,0.0
Bournemouth,68,1:0,Adam Smith,Max Aarons,substitute_in,641024cf,Bournemouth,Newcastle Utd,1.0,0.0
Bournemouth,73,2:0,Dominic Solanke,,goal,641024cf,Bournemouth,Newcastle Utd,2.0,0.0
Bournemouth,81,2:0,Dango Ouattara,Antoine Semenyo,substitute_in,641024cf,Bournemouth,Newcastle Utd,2.0,0.0
Newcastle United,90+5,2:0,Emil Krafth,Joe Willock,substitute_in,641024cf,Bournemouth,Newcastle Utd,2.0,0.0
Bournemouth,90+6,2:0,Joe Rothwell,Marcus Tavernier,substitute_in,641024cf,Bournemouth,Newcastle Utd,2.0,0.0
Wolverhampton Wanderers,25,1:0,Max Kilman,,goal,7dfc59ca,Wolves,Everton,1.0,0.0
Wolverhampton Wanderers,53,2:0,Matheus Cunha,Hwang Hee-chan,goal,7dfc59ca,Wolves,Everton,2.0,0.0
Wolverhampton Wanderers,61,3:0,Craig Dawson,Matheus Cunha,goal,7dfc59ca,Wolves,Everton,3.0,0.0
Everton,63,3:0,Andre Gomes,Michael Keane,substitute_in,7dfc59ca,Wolves,Everton,3.0,0.0
Everton,63,3:0,Seamus Coleman,Nathan Patterson,substitute_in,7dfc59ca,Wolves,Everton,3.0,0.0
Wolverhampton Wanderers,73,3:0,Hugo Bueno,Rayan Ait Nouri,substitute_in,7dfc59ca,Wolves,Everton,3.0,0.0
Everton,74,3:0,Arnaut Danjuma,Dwight McNeil,substitute_in,7dfc59ca,Wolves,Everton,3.0,0.0
Everton,74,3:0,Beto,Dominic Calvert-Lewin,substitute_in,7dfc59ca,Wolves,Everton,3.0,0.0
Wolverhampton Wanderers,80,3:0,Jean-Ricner Bellegarde,Pablo Sarabia,substitute_in,7dfc59ca,Wolves,Everton,3.0,0.0
Wolverhampton Wanderers,80,3:0,Pedro Neto,Matheus Cunha,substitute_in,7dfc59ca,Wolves,Everton,3.0,0.0
Wolverhampton Wanderers,85,3:0,Matt Doherty,Nelson Semedo,substitute_in,7dfc59ca,Wolves,Everton,3.0,0.0
Wolverhampton Wanderers,85,3:0,Boubacar Traore,Joao Gomes,substitute_in,7dfc59ca,Wolves,Everton,3.0,0.0
Arsenal,70,0:1,Gabriel Dos Santos,Gabriel Martinelli,substitute_in,3b5ecd36,Crystal Palace,Arsenal,0.0,1.0
Crystal Palace,74,0:1,Naouirou Ahamada,Jeffrey Schlupp,substitute_in,3b5ecd36,Crystal Palace,Arsenal,0.0,1.0
Arsenal,79,0:1,Jorginho,Eddie Nketiah,substitute_in,3b5ecd36,Crystal Palace,Arsenal,0.0,1.0
Crystal Palace,83,0:1,Jesuran Rak Sakyi,Joel Ward,substitute_in,3b5ecd36,Crystal Palace,Arsenal,0.0,1.0
Arsenal,89,0:1,Jakub Kiwior,Bukayo Saka,substitute_in,3b5ecd36,Crystal Palace,Arsenal,0.0,1.0
Arsenal,89,0:1,Oleksandr Zinchenko,Martin Odegaard,substitute_in,3b5ecd36,Crystal Palace,Arsenal,0.0,1.0
Burnley,36,1:0,Zeki Amdouni,,goal,d62dd931,Burnley,Luton Town,1.0,0.0
Luton Town,64,1:0,Tahith Chong,Andros Townsend,substitute_in,d62dd931,Burnley,Luton Town,1.0,0.0
Burnley,74,1:0,Connor Roberts,Johann Berg Gudmundsson,substitute_in,d62dd931,Burnley,Luton Town,1.0,0.0
Luton Town,74,1:0,Carlton Morris,Jordan Clark,substitute_in,d62dd931,Burnley,Luton Town,1.0,0.0
Burnley,83,1:0,Mike Tresor,Zeki Amdouni,substitute_in,d62dd931,Burnley,Luton Town,1.0,0.0
Burnley,84,1:0,Jacob Bruun Larsen,Wilson Odobert,substitute_in,d62dd931,Burnley,Luton Town,1.0,0.0
Luton Town,86,1:0,Luke Berry,Albert Sambi Lokonga,substitute_in,d62dd931,Burnley,Luton Town,1.0,0.0
Luton Town,90+2,1:1,Carlton Morris,Alfie Doughty,goal,d62dd931,Burnley,Luton Town,1.0,1.0
Burnley,90+5,1:1,Jack Cork,Hjalmar Ekdal,substitute_in,d62dd931,Burnley,Luton Town,1.0,1.0
West Ham United,28,0:1,Maxwel Cornet,,goal,abd525b4,Sheffield Utd,West Ham,0.0,1.0
Sheffield United,44,1:1,Ben Brereton,,goal,abd525b4,Sheffield Utd,West Ham,1.0,1.0
Sheffield United,46,1:1,Oliver McBurnie,William Osula,substitute_in,abd525b4,Sheffield Utd,West Ham,1.0,1.0
Sheffield United,67,1:1,Cameron Archer,Ben Brereton,substitute_in,abd525b4,Sheffield Utd,West Ham,1.0,1.0
West Ham United,70,1:1,Ben Johnson,Maxwel Cornet,substitute_in,abd525b4,Sheffield Utd,West Ham,1.0,1.0
Sheffield United,80,1:2,Rhys Norrington-Davies,Auston Trusty,substitute_in,abd525b4,Sheffield Utd,West Ham,1.0,2.0
Sheffield United,80,1:2,Rhian Brewster,Andre Brooks,substitute_in,abd525b4,Sheffield Utd,West Ham,1.0,2.0
Sheffield United,88,1:2,Oliver Norwood,Vinicius Souza,substitute_in,abd525b4,Sheffield Utd,West Ham,1.0,2.0
West Ham United,90+12,1:2,Lukasz Fabianski,Alphonse Areola,substitute_in,abd525b4,Sheffield Utd,West Ham,1.0,2.0
West Ham United,90+6,1:2,Divin Mubama,Danny Ings,substitute_in,abd525b4,Sheffield Utd,West Ham,1.0,2.0
Luton Town,46,0:0,Jacob Brown,Tom Lockyer,substitute_in,0f71f535,Brentford,Luton Town,0.0,0.0
Brentford,49,1:0,Neal Maupay,,goal,0f71f535,Brentford,Luton Town,1.0,0.0
Brentford,56,2:0,Ben Mee,Bryan Mbeumo,goal,0f71f535,Brentford,Luton Town,2.0,0.0
Luton Town,60,2:0,Jordan Clark,Pelly Ruddock Mpanzu,substitute_in,0f71f535,Brentford,Luton Town,2.0,0.0
Luton Town,60,2:0,Andros Townsend,Chiedozie Ogbene,substitute_in,0f71f535,Brentford,Luton Town,2.0,0.0
Luton Town,60,2:0,Elijah Adebayo,Carlton Morris,substitute_in,0f71f535,Brentford,Luton Town,2.0,0.0
Brentford,70,2:0,Shandon Baptiste,Yehor Yarmoliuk,substitute_in,0f71f535,Brentford,Luton Town,2.0,0.0
Luton Town,76,2:1,Jacob Brown,,goal,0f71f535,Brentford,Luton Town,2.0,1.0
Luton Town,76,2:1,Ryan John Giles,Teden Mengi,substitute_in,0f71f535,Brentford,Luton Town,2.0,1.0
Brentford,77,2:1,Mads Roerslev,Saman Ghoddos,substitute_in,0f71f535,Brentford,Luton Town,2.0,1.0
Brentford,78,2:1,Keane Lewis-Potter,Bryan Mbeumo,substitute_in,0f71f535,Brentford,Luton Town,2.0,1.0
Brentford,81,3:1,Shandon Baptiste,,goal,0f71f535,Brentford,Luton Town,3.0,1.0
Brentford,90+2,3:1,Myles Peart-Harris,Neal Maupay,substitute_in,0f71f535,Brentford,Luton Town,3.0,1.0
Brentford,58,0:1,Christian Norgaard,Mathias Jensen,goal,923467c5,Nott'ham Forest,Brentford,0.0,1.0
Nottingham Forest,60,0:1,Harry Toffolo,Callum Hudson-Odoi,substitute_in,923467c5,Nott'ham Forest,Brentford,0.0,1.0
Nottingham Forest,60,0:1,Morgan Gibbs-White,Anthony Elanga,substitute_in,923467c5,Nott'ham Forest,Brentford,0.0,1.0
Nottingham Forest,65,1:1,Nicolas Dominguez,Harry Toffolo,goal,923467c5,Nott'ham Forest,Brentford,1.0,1.0
Brentford,69,1:1,Frank Onyeka,Mathias Jensen,substitute_in,923467c5,Nott'ham Forest,Brentford,1.0,1.0
Brentford,69,1:1,Saman Ghoddos,Aaron Hickey,substitute_in,923467c5,Nott'ham Forest,Brentford,1.0,1.0
Brentford,75,1:1,Neal Maupay,Keane Lewis-Potter,substitute_in,923467c5,Nott'ham Forest,Brentford,1.0,1.0
Nottingham Forest,77,1:1,Cheikhou Kouyate,Ibrahim Sangare,substitute_in,923467c5,Nott'ham Forest,Brentford,1.0,1.0
Nottingham Forest,80,1:1,Divock Origi,Nicolas Dominguez,substitute_in,923467c5,Nott'ham Forest,Brentford,1.0,1.0
Nottingham Forest,81,1:1,Chris Wood,Taiwo Awoniyi,substitute_in,923467c5,Nott'ham Forest,Brentford,1.0,1.0
Brentford,89,1:1,Michael Olakigbe,Vitaly Janelt,substitute_in,923467c5,Nott'ham Forest,Brentford,1.0,1.0
Brentford,89,1:1,Mads Roerslev,Kristoffer Ajer,substitute_in,923467c5,Nott'ham Forest,Brentford,1.0,1.0
Newcastle United,14,0:0,Emil Krafth,Fabian Schar,substitute_in,5db0f25b,Newcastle Utd,Fulham,0.0,0.0
Newcastle United,36,0:0,Lewis Miley,Joelinton,substitute_in,5db0f25b,Newcastle Utd,Fulham,0.0,0.0
Newcastle United,57,1:0,Lewis Miley,Bruno Guimaraes,goal,5db0f25b,Newcastle Utd,Fulham,1.0,0.0
Fulham,61,1:0,Rodrigo Muniz,Timothy Castagne,substitute_in,5db0f25b,Newcastle Utd,Fulham,1.0,0.0
Fulham,61,1:0,Kenny Tete,Andreas Pereira,substitute_in,5db0f25b,Newcastle Utd,Fulham,1.0,0.0
Newcastle United,64,2:0,Miguel Almiron,Anthony Gordon,goal,5db0f25b,Newcastle Utd,Fulham,2.0,0.0
Fulham,76,2:0,Sasa Lukic,Tom Cairney,substitute_in,5db0f25b,Newcastle Utd,Fulham,2.0,0.0
Fulham,77,2:0,Harrison Reed,Joao Palhinha,substitute_in,5db0f25b,Newcastle Utd,Fulham,2.0,0.0
Fulham,77,2:0,Bobby Reid,Alex Iwobi,substitute_in,5db0f25b,Newcastle Utd,Fulham,2.0,0.0
Newcastle United,82,3:0,Dan Burn,,goal,5db0f25b,Newcastle Utd,Fulham,3.0,0.0
Newcastle United,84,3:0,Matt Ritchie,Valentino Livramento,substitute_in,5db0f25b,Newcastle Utd,Fulham,3.0,0.0
Newcastle United,84,3:0,Sven Botman,Dan Burn,substitute_in,5db0f25b,Newcastle Utd,Fulham,3.0,0.0
Newcastle United,84,3:0,Lewis Hall,Anthony Gordon,substitute_in,5db0f25b,Newcastle Utd,Fulham,3.0,0.0
Bournemouth,63,0:0,Justin Kluivert,Dango Ouattara,substitute_in,be0cbf88,Bournemouth,Chelsea,0.0,0.0
Chelsea,63,0:0,Cole Palmer,Mykhailo Mudryk,substitute_in,be0cbf88,Bournemouth,Chelsea,0.0,0.0
