gameweek,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,season,home_score,away_score,matchup_id
11,Sat,2023-11-04,15:00,BUR,1.1,0–2,1.3,CRY,"21,578",Turf Moor,Peter Bankes,Match Report,,2023,0.0,2.0,22
11,Sat,2023-11-04,15:00,EVE,0.7,1–1,0.5,BHA,"38,683",Goodison Park,Tim Robinson,Match Report,,2023,1.0,1.0,23
11,Sat,2023-11-04,12:30,FUL,1.0,0–1,0.7,MUN,"24,415",Craven Cottage,John Brooks,Match Report,,2023,0.0,1.0,24
11,Sun,2023-11-05,16:30,LUT,0.8,1–1,2.6,LIV,"11,049",Kenilworth Road Stadium,Andy Madley,Match Report,,2023,1.0,1.0,25
11,Sat,2023-11-04,15:00,MCI,1.9,6–1,0.9,BOU,"53,358",Etihad Stadium,Craig Pawson,Match Report,,2023,6.0,1.0,26
11,Sat,2023-11-04,17:30,NEW,1.0,1–0,0.6,ARS,"52,194",St James' Park,Stuart Attwell,Match Report,,2023,1.0,0.0,27
11,Sun,2023-11-05,14:00,NOT,0.4,2–0,1.2,AVL,"29,313",The City Ground,Jarred Gillett,Match Report,,2023,2.0,0.0,28
11,Sat,2023-11-04,15:00,SHU,1.0,2–1,1.2,WOL,"29,454",Bramall Lane,Robert Jones,Match Report,,2023,2.0,1.0,29
11,Mon,2023-11-06,20:00,TOT,0.9,1–4,4.1,CHE,"61,726",Tottenham Hotspur Stadium,Michael Oliver,Match Report,,2023,1.0,4.0,30
12,Sat,2023-11-11,15:00,ARS,1.8,3–1,0.3,BUR,"60,232",Emirates Stadium,Michael Oliver,Match Report,,2023,3.0,1.0,31
12,Sun,2023-11-12,14:00,AVL,3.0,3–1,0.9,FUL,"41,608",Villa Park,Simon Hooper,Match Report,,2023,3.0,1.0,32
12,Sun,2023-11-12,14:00,BHA,1.5,1–1,1.1,SHU,"31,367",The American Express Community Stadium,John Brooks,Match Report,,2023,1.0,1.0,33
12,Sat,2023-11-11,17:30,BOU,2.4,2–0,0.5,NEW,"11,201",Vitality Stadium,Chris Kavanagh,Match Report,,2023,2.0,0.0,34
12,Sun,2023-11-12,16:30,CHE,2.9,4–4,2.9,MCI,"39,532",Stamford Bridge,Anthony Taylor,Match Report,,2023,4.0,4.0,35
12,Sat,2023-11-11,15:00,CRY,2.2,2–3,1.5,EVE,"25,103",Selhurst Park,Samuel Barrott,Match Report,,2023,2.0,3.0,36
12,Sun,2023-11-12,14:00,LIV,1.7,3–0,1.6,BRF,"50,151",Anfield,Paul Tierney,Match Report,,2023,3.0,0.0,37
12,Sat,2023-11-11,15:00,MUN,2.2,1–0,0.4,LUT,"73,599",Old Trafford,Graham Scott,Match Report,,2023,1.0,0.0,38
12,Sun,2023-11-12,14:00,WHU,1.8,3–2,1.7,NOT,"62,470",London Stadium,Michael Salisbury,Match Report,,2023,3.0,2.0,39
12,Sat,2023-11-11,12:30,WOL,2.1,2–1,0.7,TOT,"31,642",Molineux Stadium,Tim Robinson,Match Report,,2023,2.0,1.0,40
13,Sat,2023-11-25,17:30,BRF,1.1,0–1,1.6,ARS,"17,201",Gtech Community Stadium,Tim Robinson,Match Report,,2023,0.0,1.0,41
13,Sat,2023-11-25,15:00,BUR,1.3,1–2,0.9,WHU,"21,319",Turf Moor,Samuel Barrott,Match Report,,2023,1.0,2.0,42
13,Sun,2023-11-26,16:30,EVE,2.4,0–3,2.2,MUN,"39,257",Goodison Park,John Brooks,Match Report,,2023,0.0,3.0,43
13,Mon,2023-11-27,20:00,FUL,2.9,3–2,1.4,WOL,"24,366",Craven Cottage,Michael Salisbury,Match Report,,2023,3.0,2.0,44
13,Sat,2023-11-25,15:00,LUT,0.9,2–1,1.6,CRY,"11,029",Kenilworth Road Stadium,Jarred Gillett,Match Report,,2023,2.0,1.0,45
13,Sat,2023-11-25,12:30,MCI,1.3,1–1,0.6,LIV,"53,289",Etihad Stadium,Chris Kavanagh,Match Report,,2023,1.0,1.0,46
13,Sat,2023-11-25,15:00,NEW,2.4,4–1,0.5,CHE,"52,227",St James' Park,Simon Hooper,Match Report,,2023,4.0,1.0,47
13,Sat,2023-11-25,15:00,NOT,1.9,2–3,1.5,BHA,"29,404",The City Ground,Anthony Taylor,Match Report,,2023,2.0,3.0,48
13,Sat,2023-11-25,15:00,SHU,0.8,1–3,2.9,BOU,"30,208",Bramall Lane,Andy Madley,Match Report,,2023,1.0,3.0,49
13,Sun,2023-11-26,14:00,TOT,2.3,1–2,1.7,AVL,"61,679",Tottenham Hotspur Stadium,Robert Jones,Match Report,,2023,1.0,2.0,50
14,Sat,2023-12-02,15:00,ARS,2.8,2–1,0.7,WOL,"60,262",Emirates Stadium,Peter Bankes,Match Report,,2023,2.0,1.0,51
14,Sun,2023-12-03,14:00,BOU,2.0,2–2,0.7,AVL,"11,191",Vitality Stadium,Thomas Bramall,Match Report,,2023,2.0,2.0,52
14,Sat,2023-12-02,15:00,BRF,3.1,3–1,0.2,LUT,"17,075",Gtech Community Stadium,Anthony Taylor,Match Report,,2023,3.0,1.0,53
14,Sat,2023-12-02,15:00,BUR,1.8,5–0,0.4,SHU,"21,478",Turf Moor,Chris Kavanagh,Match Report,,2023,5.0,0.0,54
14,Sun,2023-12-03,14:00,CHE,2.1,3–2,1.1,BHA,"39,647",Stamford Bridge,Craig Pawson,Match Report,,2023,3.0,2.0,55
14,Sun,2023-12-03,14:00,LIV,2.1,4–3,1.2,FUL,"50,124",Anfield,Stuart Attwell,Match Report,,2023,4.0,3.0,56
14,Sun,2023-12-03,16:30,MCI,2.6,3–3,0.5,TOT,"53,473",Etihad Stadium,Simon Hooper,Match Report,,2023,3.0,3.0,57
14,Sat,2023-12-02,20:00,NEW,2.4,1–0,0.5,MUN,"52,214",St James' Park,Robert Jones,Match Report,,2023,1.0,0.0,58
14,Sat,2023-12-02,17:30,NOT,0.7,0–1,0.7,EVE,"29,404",The City Ground,Paul Tierney,Match Report,,2023,0.0,1.0,59
14,Sun,2023-12-03,14:00,WHU,1.1,1–1,0.9,CRY,"62,414",London Stadium,Michael Oliver,Match Report,,2023,1.0,1.0,60
15,Wed,2023-12-06,20:15,AVL,2.3,1–0,0.6,MCI,"41,421",Villa Park,John Brooks,Match Report,,2023,1.0,0.0,61
15,Wed,2023-12-06,19:30,BHA,1.5,2–1,1.5,BRF,"31,571",The American Express Community Stadium,Peter Bankes,Match Report,,2023,2.0,1.0,62
15,Wed,2023-12-06,19:30,CRY,1.0,0–2,1.8,BOU,"25,078",Selhurst Park,Craig Pawson,Match Report,,2023,0.0,2.0,63
15,Thu,2023-12-07,19:30,EVE,3.3,3–0,1.5,NEW,"38,198",Goodison Park,Tim Robinson,Match Report,,2023,3.0,0.0,64
15,Wed,2023-12-06,19:30,FUL,2.5,5–0,0.3,NOT,"24,105",Craven Cottage,Joshua Smith,Match Report,,2023,5.0,0.0,65
15,Tue,2023-12-05,20:15,LUT,0.5,3–4,2.2,ARS,"11,031",Kenilworth Road Stadium,Samuel Barrott,Match Report,,2023,3.0,4.0,66
15,Wed,2023-12-06,20:15,MUN,4.1,2–1,1.5,CHE,"73,607",Old Trafford,Chris Kavanagh,Match Report,,2023,2.0,1.0,67
15,Wed,2023-12-06,19:30,SHU,1.0,0–2,1.7,LIV,"31,406",Bramall Lane,Simon Hooper,Match Report,,2023,0.0,2.0,68
15,Thu,2023-12-07,20:15,TOT,1.8,1–2,2.2,WHU,"61,171",Tottenham Hotspur Stadium,Michael Salisbury,Match Report,,2023,1.0,2.0,69
15,Tue,2023-12-05,19:30,WOL,0.8,1–0,0.9,BUR,"30,439",Molineux Stadium,Jarred Gillett,Match Report,,2023,1.0,0.0,70
16,Sat,2023-12-09,17:30,AVL,0.6,1–0,1.4,ARS,,Villa Park,Jarred Gillett,Match Report,,2023,1.0,0.0,71
16,Sat,2023-12-09,15:00,BHA,2.6,1–1,0.6,BUR,"31,511",The American Express Community Stadium,Simon Hooper,Match Report,,2023,1.0,1.0,72
16,Sat,2023-12-09,12:30,CRY,1.7,1–2,1.2,LIV,"25,103",Selhurst Park,Andy Madley,Match Report,,2023,1.0,2.0,73
16,Sun,2023-12-10,14:00,EVE,1.2,2–0,0.9,CHE,"39,280",Goodison Park,Michael Oliver,Match Report,,2023,2.0,0.0,74
16,Sun,2023-12-10,14:00,FUL,2.3,5–0,1.3,WHU,"23,988",Craven Cottage,Paul Tierney,Match Report,,2023,5.0,0.0,75
16,Sun,2023-12-10,14:00,LUT,0.3,1–2,1.6,MCI,"11,047",Kenilworth Road Stadium,Tim Robinson,Match Report,,2023,1.0,2.0,76
16,Sat,2023-12-09,15:00,MUN,1.1,0–3,1.5,BOU,"73,427",Old Trafford,Peter Bankes,Match Report,,2023,0.0,3.0,77
16,Sat,2023-12-09,15:00,SHU,0.8,1–0,0.6,BRF,"28,509",Bramall Lane,Stuart Attwell,Match Report,,2023,1.0,0.0,78
16,Sun,2023-12-10,16:30,TOT,3.8,4–1,1.7,NEW,"61,171",Tottenham Hotspur Stadium,Chris Kavanagh,Match Report,,2023,4.0,1.0,79
16,Sat,2023-12-09,15:00,WOL,1.2,1–1,1.3,NOT,"31,543",Molineux Stadium,Samuel Barrott,Match Report,,2023,1.0,1.0,80
17,Sun,2023-12-17,14:00,ARS,2.3,2–0,0.7,BHA,"60,257",Emirates Stadium,Tim Robinson,Match Report,,2023,2.0,0.0,81
17,Sat,2023-12-16,15:00,BOU,,1–1,,LUT,"11,185",Vitality Stadium,Simon Hooper,Match Report,,2023,1.0,1.0,82
17,Sun,2023-12-17,14:00,BRF,0.5,1–2,1.4,AVL,"17,034",Gtech Community Stadium,David Coote,Match Report,,2023,1.0,2.0,83
17,Sat,2023-12-16,17:30,BUR,0.7,0–2,1.4,EVE,"21,413",Turf Moor,Anthony Taylor,Match Report,,2023,0.0,2.0,84
17,Sat,2023-12-16,15:00,CHE,3.1,2–0,0.4,SHU,"39,599",Stamford Bridge,Andy Madley,Match Report,,2023,2.0,0.0,85
17,Sun,2023-12-17,16:30,LIV,2.3,0–0,0.8,MUN,"57,158",Anfield,Michael Oliver,Match Report,,2023,0.0,0.0,86
17,Sat,2023-12-16,15:00,MCI,1.6,2–2,1.8,CRY,"53,248",Etihad Stadium,Paul Tierney,Match Report,,2023,2.0,2.0,87
17,Sat,2023-12-16,15:00,NEW,3.5,3–0,0.3,FUL,"52,055",St James' Park,Samuel Barrott,Match Report,,2023,3.0,0.0,88
17,Fri,2023-12-15,20:00,NOT,1.3,0–2,1.5,TOT,"29,296",The City Ground,Jarred Gillett,Match Report,,2023,0.0,2.0,89
17,Sun,2023-12-17,14:00,WHU,1.1,3–0,0.7,WOL,"62,455",London Stadium,Chris Kavanagh,Match Report,,2023,3.0,0.0,90
18,Fri,2023-12-22,20:00,AVL,0.9,1–1,0.6,SHU,,Villa Park,Anthony Taylor,Match Report,,2023,1.0,1.0,91
18,Thu,2023-12-21,20:00,CRY,1.3,1–1,1.2,BHA,"24,171",Selhurst Park,John Brooks,Match Report,,2023,1.0,1.0,92
18,Sat,2023-12-23,15:00,FUL,1.3,0–2,0.4,BUR,"23,598",Craven Cottage,Rebecca Welch,Match Report,,2023,0.0,2.0,93
18,Sat,2023-12-23,17:30,LIV,1.0,1–1,0.7,ARS,"57,548",Anfield,Chris Kavanagh,Match Report,,2023,1.0,1.0,94
18,Sat,2023-12-23,15:00,LUT,1.4,1–0,1.4,NEW,"11,042",Kenilworth Road Stadium,Darren England,Match Report,,2023,1.0,0.0,95
18,Sat,2023-12-23,15:00,NOT,1.0,2–3,1.6,BOU,"29,188",The City Ground,Robert Jones,Match Report,,2023,2.0,3.0,96
18,Sat,2023-12-23,15:00,TOT,1.5,2–1,1.8,EVE,"61,808",Tottenham Hotspur Stadium,Stuart Attwell,Match Report,,2023,2.0,1.0,97
18,Sat,2023-12-23,12:30,WHU,1.2,2–0,1.0,MUN,"64,472",London Stadium,Simon Hooper,Match Report,,2023,2.0,0.0,98
18,Sun,2023-12-24,13:00,WOL,1.3,2–1,2.0,CHE,"31,641",Molineux Stadium,David Coote,Match Report,,2023,2.0,1.0,99
19,Thu,2023-12-28,20:15,ARS,2.7,0–2,1.4,WHU,"60,261",Emirates Stadium,Michael Oliver,Match Report,,2023,0.0,2.0,100
19,Thu,2023-12-28,19:30,BHA,3.2,4–2,2.3,TOT,"31,675",The American Express Community Stadium,Jarred Gillett,Match Report,,2023,4.0,2.0,101
19,Tue,2023-12-26,15:00,BOU,1.8,3–0,0.3,FUL,"11,099",Vitality Stadium,Tim Robinson,Match Report,,2023,3.0,0.0,102
19,Wed,2023-12-27,19:30,BRF,2.2,1–4,2.4,WOL,"17,109",Gtech Community Stadium,Andy Madley,Match Report,,2023,1.0,4.0,103
19,Tue,2023-12-26,17:30,BUR,0.8,0–2,1.8,LIV,"21,624",Turf Moor,Paul Tierney,Match Report,,2023,0.0,2.0,104
19,Wed,2023-12-27,19:30,CHE,2.6,2–1,1.1,CRY,"39,618",Stamford Bridge,Michael Salisbury,Match Report,,2023,2.0,1.0,105
19,Wed,2023-12-27,20:15,EVE,1.0,1–3,2.4,MCI,"39,327",Goodison Park,John Brooks,Match Report,,2023,1.0,3.0,106
19,Tue,2023-12-26,20:00,MUN,1.1,3–2,1.7,AVL,"73,574",Old Trafford,Craig Pawson,Match Report,,2023,3.0,2.0,107
19,Tue,2023-12-26,12:30,NEW,2.4,1–3,3.5,NOT,"52,207",St James' Park,Chris Kavanagh,Match Report,,2023,1.0,3.0,108
19,Tue,2023-12-26,15:00,SHU,2.4,2–3,0.6,LUT,"31,041",Bramall Lane,Samuel Allison,Match Report,,2023,2.0,3.0,109
2,Sun,2023-08-20,14:00,AVL,2.9,4–0,0.6,EVE,"41,694",Villa Park,Anthony Taylor,Match Report,,2023,4.0,0.0,110
2,Mon,2023-08-21,20:00,CRY,1.0,0–1,2.0,ARS,"24,189",Selhurst Park,David Coote,Match Report,,2023,0.0,1.0,111
2,Sat,2023-08-19,15:00,FUL,0.5,0–3,3.7,BRF,"24,236",Craven Cottage,Darren Bond,Match Report,,2023,0.0,3.0,112
2,Sat,2023-08-19,15:00,LIV,3.0,3–1,1.3,BOU,"53,145",Anfield,Thomas Bramall,Match Report,,2023,3.0,1.0,113
2,Tue,2023-10-03,19:30,LUT,1.3,1–2,1.1,BUR,"10,918",Kenilworth Road Stadium,Peter Bankes,Match Report,,2023,1.0,2.0,114
2,Sat,2023-08-19,20:00,MCI,1.0,1–0,0.3,NEW,"53,419",Etihad Stadium,Robert Jones,Match Report,,2023,1.0,0.0,115
2,Fri,2023-08-18,19:45,NOT,1.4,2–1,0.5,SHU,"29,432",The City Ground,Peter Bankes,Match Report,,2023,2.0,1.0,116
2,Sat,2023-08-19,17:30,TOT,1.7,2–0,2.1,MUN,"61,910",Tottenham Hotspur Stadium,Michael Oliver,Match Report,,2023,2.0,0.0,117
2,Sun,2023-08-20,16:30,WHU,1.8,3–1,2.5,CHE,"62,451",London Stadium,John Brooks,Match Report,,2023,3.0,1.0,118
2,Sat,2023-08-19,15:00,WOL,2.1,1–4,2.2,BHA,"31,317",Molineux Stadium,Andy Madley,Match Report,,2023,1.0,4.0,119
20,Sat,2023-12-30,15:00,AVL,3.2,3–2,1.2,BUR,,Villa Park,Stuart Attwell,Match Report,,2023,3.0,2.0,120
20,Sat,2023-12-30,15:00,CRY,1.0,3–1,1.4,BRF,"25,472",Selhurst Park,Robert Jones,Match Report,,2023,3.0,1.0,121
20,Sun,2023-12-31,14:00,FUL,1.2,2–1,1.6,ARS,"24,444",Craven Cottage,Joshua Smith,Match Report,,2023,2.0,1.0,122
20,Mon,2024-01-01,20:00,LIV,7.0,4–2,0.6,NEW,,Anfield,Anthony Taylor,Match Report,,2023,4.0,2.0,123
20,Sat,2023-12-30,12:30,LUT,2.3,2–3,1.5,CHE,,Kenilworth Road Stadium,Paul Tierney,Match Report,,2023,2.0,3.0,124
20,Sat,2023-12-30,15:00,MCI,2.2,2–0,0.3,SHU,,Etihad Stadium,David Coote,Match Report,,2023,2.0,0.0,125
20,Sat,2023-12-30,17:30,NOT,0.7,2–1,0.8,MUN,"29,529",The City Ground,Tim Robinson,Match Report,,2023,2.0,1.0,126
20,Sun,2023-12-31,14:00,TOT,2.3,3–1,1.7,BOU,"61,780",Tottenham Hotspur Stadium,Simon Hooper,Match Report,,2023,3.0,1.0,127
20,Tue,2024-01-02,19:30,WHU,0.7,0–0,2.4,BHA,"62,462",London Stadium,Samuel Barrott,Match Report,,2023,0.0,0.0,128
20,Sat,2023-12-30,15:00,WOL,1.9,3–0,0.4,EVE,"31,639",Molineux Stadium,Thomas Bramall,Match Report,,2023,3.0,0.0,129
3,Sat,2023-08-26,15:00,ARS,3.2,2–2,0.6,FUL,"59,961",Emirates Stadium,Paul Tierney,Match Report,,2023,2.0,2.0,130
3,Sat,2023-08-26,17:30,BHA,1.5,1–3,3.0,WHU,"31,508",The American Express Community Stadium,Anthony Taylor,Match Report,,2023,1.0,3.0,131
3,Sat,2023-08-26,12:30,BOU,0.7,0–2,2.1,TOT,"10,567",Vitality Stadium,Tim Robinson,Match Report,,2023,0.0,2.0,132
3,Sat,2023-08-26,15:00,BRF,1.0,1–1,0.8,CRY,"16,997",Gtech Community Stadium,Peter Bankes,Match Report,,2023,1.0,1.0,133
3,Sun,2023-08-27,14:00,BUR,0.7,1–3,2.5,AVL,"21,591",Turf Moor,Michael Salisbury,Match Report,,2023,1.0,3.0,134
3,Fri,2023-08-25,20:00,CHE,2.2,3–0,0.4,LUT,"39,893",Stamford Bridge,Robert Jones,Match Report,,2023,3.0,0.0,135
3,Sat,2023-08-26,15:00,EVE,1.3,0–1,1.1,WOL,"38,851",Goodison Park,Craig Pawson,Match Report,,2023,0.0,1.0,136
3,Sat,2023-08-26,15:00,MUN,2.8,3–2,1.2,NOT,"73,595",Old Trafford,Stuart Attwell,Match Report,,2023,3.0,2.0,137
3,Sun,2023-08-27,16:30,NEW,2.0,1–2,0.9,LIV,"52,214",St James' Park,John Brooks,Match Report,,2023,1.0,2.0,138
3,Sun,2023-08-27,14:00,SHU,0.7,1–2,3.5,MCI,"31,336",Bramall Lane,Jarred Gillett,Match Report,,2023,1.0,2.0,139
4,Sun,2023-09-03,16:30,ARS,2.3,3–1,0.9,MUN,"60,192",Emirates Stadium,Anthony Taylor,Match Report,,2023,3.0,1.0,140
4,Sat,2023-09-02,17:30,BHA,1.3,3–1,1.2,NEW,"31,620",The American Express Community Stadium,Stuart Attwell,Match Report,,2023,3.0,1.0,141
4,Sat,2023-09-02,15:00,BRF,2.9,2–2,2.1,BOU,"16,973",Gtech Community Stadium,Robert Madley,Match Report,,2023,2.0,2.0,142
4,Sat,2023-09-02,15:00,BUR,1.3,2–5,2.2,TOT,"21,750",Turf Moor,Darren England,Match Report,,2023,2.0,5.0,143
4,Sat,2023-09-02,15:00,CHE,2.3,0–1,0.8,NOT,"39,820",Stamford Bridge,Tim Robinson,Match Report,,2023,0.0,1.0,144
4,Sun,2023-09-03,14:00,CRY,2.1,3–2,1.2,WOL,"24,741",Selhurst Park,Robert Jones,Match Report,,2023,3.0,2.0,145
4,Sun,2023-09-03,14:00,LIV,2.5,3–0,0.7,AVL,"50,109",Anfield,Simon Hooper,Match Report,,2023,3.0,0.0,146
4,Fri,2023-09-01,20:00,LUT,1.4,1–2,1.0,WHU,"10,802",Kenilworth Road Stadium,Paul Tierney,Match Report,,2023,1.0,2.0,147
4,Sat,2023-09-02,15:00,MCI,2.2,5–1,1.4,FUL,"52,899",Etihad Stadium,Michael Oliver,Match Report,,2023,5.0,1.0,148
4,Sat,2023-09-02,12:30,SHU,1.2,2–2,2.5,EVE,"31,124",Bramall Lane,Andy Madley,Match Report,,2023,2.0,2.0,149
5,Sat,2023-09-16,15:00,AVL,3.0,3–1,1.2,CRY,"40,809",Villa Park,Darren England,Match Report,,2023,3.0,1.0,150
5,Sun,2023-09-17,14:00,BOU,1.0,0–0,1.8,CHE,"10,421",Vitality Stadium,David Coote,Match Report,,2023,0.0,0.0,151
5,Sun,2023-09-17,16:30,EVE,0.3,0–1,1.0,ARS,"39,217",Goodison Park,Simon Hooper,Match Report,,2023,0.0,1.0,152
5,Sat,2023-09-16,15:00,FUL,1.0,1–0,1.1,LUT,"24,467",Craven Cottage,Michael Salisbury,Match Report,,2023,1.0,0.0,153
5,Sat,2023-09-16,15:00,MUN,1.0,1–3,1.7,BHA,"73,592",Old Trafford,Jarred Gillett,Match Report,,2023,1.0,3.0,154
5,Sat,2023-09-16,17:30,NEW,1.4,1–0,0.5,BRF,"51,670",St James' Park,Craig Pawson,Match Report,,2023,1.0,0.0,155
5,Mon,2023-09-18,19:45,NOT,0.7,1–1,0.5,BUR,"28,958",The City Ground,Robert Jones,Match Report,,2023,1.0,1.0,156
5,Sat,2023-09-16,15:00,TOT,2.1,2–1,0.7,SHU,"61,706",Tottenham Hotspur Stadium,Peter Bankes,Match Report,,2023,2.0,1.0,157
5,Sat,2023-09-16,15:00,WHU,0.9,1–3,3.6,MCI,"62,475",London Stadium,Andy Madley,Match Report,,2023,1.0,3.0,158
5,Sat,2023-09-16,12:30,WOL,0.6,1–3,2.5,LIV,"31,257",Molineux Stadium,Michael Oliver,Match Report,,2023,1.0,3.0,159
6,Sun,2023-09-24,14:00,ARS,1.8,2–2,1.4,TOT,"60,156",Emirates Stadium,Robert Jones,Match Report,,2023,2.0,2.0,160
6,Sun,2023-09-24,14:00,BHA,1.9,3–1,1.1,BOU,"31,617",The American Express Community Stadium,John Brooks,Match Report,,2023,3.0,1.0,161
6,Sat,2023-09-23,17:30,BRF,1.0,1–3,1.9,EVE,"16,981",Gtech Community Stadium,Michael Oliver,Match Report,,2023,1.0,3.0,162
6,Sat,2023-09-23,20:00,BUR,1.1,0–1,1.0,MUN,"21,593",Turf Moor,Tony Harrington,Match Report,,2023,0.0,1.0,163
6,Sun,2023-09-24,14:00,CHE,1.3,0–1,1.0,AVL,"39,700",Stamford Bridge,Jarred Gillett,Match Report,,2023,0.0,1.0,164
6,Sat,2023-09-23,15:00,CRY,0.3,0–0,0.6,FUL,"25,072",Selhurst Park,Paul Tierney,Match Report,,2023,0.0,0.0,165
6,Sun,2023-09-24,14:00,LIV,3.0,3–1,1.1,WHU,"50,136",Anfield,Chris Kavanagh,Match Report,,2023,3.0,1.0,166
6,Sat,2023-09-23,15:00,LUT,2.1,1–1,0.6,WOL,"10,893",Kenilworth Road Stadium,Joshua Smith,Match Report,,2023,1.0,1.0,167
6,Sat,2023-09-23,15:00,MCI,1.3,2–0,1.0,NOT,"53,413",Etihad Stadium,Anthony Taylor,Match Report,,2023,2.0,0.0,168
6,Sun,2023-09-24,16:30,SHU,0.9,0–8,3.9,NEW,"31,127",Bramall Lane,Stuart Attwell,Match Report,,2023,0.0,8.0,169
7,Sat,2023-09-30,12:30,AVL,1.6,6–1,1.7,BHA,"40,636",Villa Park,Andy Madley,Match Report,,2023,6.0,1.0,170
7,Sat,2023-09-30,15:00,BOU,0.6,0–4,3.4,ARS,"11,193",Vitality Stadium,Michael Salisbury,Match Report,,2023,0.0,4.0,171
7,Sat,2023-09-30,15:00,EVE,2.9,1–2,0.9,LUT,"39,289",Goodison Park,Anthony Taylor,Match Report,,2023,1.0,2.0,172
7,Mon,2023-10-02,20:00,FUL,1.1,0–2,1.7,CHE,"24,445",Craven Cottage,Tim Robinson,Match Report,,2023,0.0,2.0,173
7,Sat,2023-09-30,15:00,MUN,1.3,0–1,0.9,CRY,"73,428",Old Trafford,Chris Kavanagh,Match Report,,2023,0.0,1.0,174
7,Sat,2023-09-30,15:00,NEW,3.1,2–0,0.6,BUR,"51,687",St James' Park,Thomas Bramall,Match Report,,2023,2.0,0.0,175
7,Sun,2023-10-01,14:00,NOT,0.5,1–1,1.6,BRF,"29,004",The City Ground,Paul Tierney,Match Report,,2023,1.0,1.0,176
7,Sat,2023-09-30,17:30,TOT,2.2,2–1,1.3,LIV,"62,001",Tottenham Hotspur Stadium,Simon Hooper,Match Report,,2023,2.0,1.0,177
7,Sat,2023-09-30,15:00,WHU,2.1,2–0,1.1,SHU,"62,459",London Stadium,Graham Scott,Match Report,,2023,2.0,0.0,178
7,Sat,2023-09-30,15:00,WOL,0.4,2–1,0.9,MCI,"31,415",Molineux Stadium,Craig Pawson,Match Report,,2023,2.0,1.0,179
