minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2,opponent,game_id
44,Declan Rice,Arsenal,0.02,0.14,Saved,32.0,Right Foot,,Bukayo Saka,Pass (Live),Martin Ødegaard,Pass (Live),Nott'ham Forest,26a7f90c
51,Takehiro Tomiyasu,Arsenal,0.03,0.16,Saved,28.0,Right Foot,,Gabriel Martinelli,Pass (Live),Martin Ødegaard,Pass (Live),Nott'ham Forest,26a7f90c
69,Martin Odegaard,Arsenal,0.03,,Blocked,21.0,Left Foot,,Thomas Partey,Pass (Live),Eddie Nketiah,Pass (Live),Nott'ham Forest,26a7f90c
70,Ola Aina,Nott'ham Forest,0.02,,Blocked,29.0,Right Foot,,Ola Aina,Take-On,Orel Mangala,Pass (Live),Arsenal,26a7f90c
76,Declan Rice,Arsenal,0.05,0.44,Saved,25.0,Right Foot,Deflected,Kai Havertz,Pass (Live),Martin Ødegaard,Pass (Live),Nott'ham Forest,26a7f90c
78,Willy Boly,Nott'ham Forest,0.21,0.08,Saved,5.0,Head,Deflected,Morgan Gibbs-White,Pass (Dead),nan,nan,Arsenal,26a7f90c
81,Declan Rice,Arsenal,0.17,0.56,Saved,15.0,Right Foot,Volley,Thomas Partey,Pass (Live),Leandro Trossard,Pass (Live),Nott'ham Forest,26a7f90c
82,Taiwo Awoniyi,Nott'ham Forest,0.57,0.87,Goal,6.0,Right Foot,,Anthony Elanga,Pass (Live),Taiwo Awoniyi,Pass (Live),Arsenal,26a7f90c
83,Morgan Gibbs-White,Nott'ham Forest,0.07,,Off Target,19.0,Right Foot,,Anthony Elanga,Pass (Live),Neco Williams,Pass (Live),Arsenal,26a7f90c
85,Kai Havertz,Arsenal,0.02,,Blocked,12.0,Right Foot,,Martin Ødegaard,Pass (Live),Thomas Partey,Pass (Live),Nott'ham Forest,26a7f90c
87,Bukayo Saka,Arsenal,0.13,0.06,Saved,10.0,Left Foot,Deflected,Kai Havertz,Pass (Live),Martin Ødegaard,Pass (Live),Nott'ham Forest,26a7f90c
90+3,Martin Odegaard,Arsenal,0.04,,Blocked,26.0,Left Foot,,Leandro Trossard,Pass (Live),Leandro Trossard,Take-On,Nott'ham Forest,26a7f90c
90+5,Cheikhou Kouyate,Nott'ham Forest,0.02,,Off Target,26.0,Right Foot,Volley,Anthony Elanga,Fouled,Ryan Yates,Pass (Live),Arsenal,26a7f90c
90+8,Martin Odegaard,Arsenal,0.05,,Off Target,21.0,Left Foot,,Bukayo Saka,Pass (Live),Kai Havertz,Pass (Live),Nott'ham Forest,26a7f90c
3.0,Pablo Fornals,West Ham,0.05,,Off Target,18.0,Right Foot,Volley,Pablo Fornals,Pass (Live),Nayef Aguerd,Pass (Live),Bournemouth,d6bbf293
5.0,Jarrod Bowen,West Ham,0.03,,Off Target,30.0,Left Foot,,nan,nan,nan,nan,Bournemouth,d6bbf293
12.0,David Brooks,Bournemouth,0.05,,Off Target,24.0,Left Foot,,Dominic Solanke,Pass (Live),Neto,Pass (Live),West Ham,d6bbf293
17.0,Jarrod Bowen,West Ham,0.06,,Blocked,16.0,Left Foot,,Jarrod Bowen,Take-On,Saïd Benrahma,Pass (Live),Bournemouth,d6bbf293
19.0,Tomas Soucek,West Ham,0.34,,Off Target,3.0,Head,,Jarrod Bowen,Pass (Dead),Michail Antonio,Pass (Live),Bournemouth,d6bbf293
24.0,Tomas Soucek,West Ham,0.03,,Off Target,7.0,Head,,Jarrod Bowen,Pass (Dead),Michail Antonio,Take-On,Bournemouth,d6bbf293
26.0,Ryan Christie,Bournemouth,0.02,0.04,Saved,29.0,Left Foot,,David Brooks,Pass (Live),Joe Rothwell,Pass (Live),West Ham,d6bbf293
29.0,Pablo Fornals,West Ham,0.04,,Off Target,27.0,Left Foot,,Saïd Benrahma,Pass (Live),Michail Antonio,Pass (Live),Bournemouth,d6bbf293
35.0,Lucas Paqueta,West Ham,0.09,,Blocked,5.0,Head,,Jarrod Bowen,Pass (Dead),Tomáš Souček,Pass (Live),Bournemouth,d6bbf293
35.0,Said Benrahma,West Ham,0.02,,Off Target,30.0,Right Foot,,Lucas Paquetá,Pass (Live),Pablo Fornals,Pass (Live),Bournemouth,d6bbf293
37.0,Jarrod Bowen,West Ham,0.02,,Off Target,14.0,Other,,Vladimír Coufal,Pass (Live),Saïd Benrahma,Pass (Live),Bournemouth,d6bbf293
37.0,Said Benrahma,West Ham,0.06,0.19,Saved,12.0,Left Foot,,Pablo Fornals,Pass (Live),Jarrod Bowen,Shot,Bournemouth,d6bbf293
41.0,David Brooks,Bournemouth,0.02,0.17,Saved,31.0,Left Foot,,Dominic Solanke,Pass (Live),Joe Rothwell,Pass (Live),West Ham,d6bbf293
50.0,David Brooks,Bournemouth,0.07,0.07,Saved,21.0,Left Foot,Volley,Dominic Solanke,Pass (Live),Max Aarons,Pass (Live),West Ham,d6bbf293
51.0,Jarrod Bowen,West Ham,0.04,0.51,Goal,27.0,Left Foot,,Tomáš Souček,Pass (Live),Pablo Fornals,Tackle,Bournemouth,d6bbf293
55.0,Dominic Solanke,Bournemouth,0.07,0.16,Saved,10.0,Right Foot,,Max Aarons,Pass (Live),Illia Zabarnyi,Pass (Live),West Ham,d6bbf293
56.0,Lucas Paqueta,West Ham,0.03,,Off Target,16.0,Left Foot,Volley,Emerson Palmieri,Pass (Live),Saïd Benrahma,Pass (Live),Bournemouth,d6bbf293
56.0,Jarrod Bowen,West Ham,0.04,,Blocked,13.0,Head,,Emerson Palmieri,Pass (Live),Pablo Fornals,Pass (Live),Bournemouth,d6bbf293
61.0,Philip Billing,Bournemouth,0.04,,Blocked,24.0,Left Foot,Free kick,Max Aarons,Fouled,Max Aarons,Pass (Dead),West Ham,d6bbf293
65.0,Joe Rothwell,Bournemouth,0.03,,Woodwork,24.0,Right Foot,,Joe Rothwell,Take-On,Ryan Christie,Pass (Live),West Ham,d6bbf293
70.0,Jarrod Bowen,West Ham,0.04,,Blocked,11.0,Left Foot,,Vladimír Coufal,Pass (Dead),nan,nan,Bournemouth,d6bbf293
71.0,David Brooks,Bournemouth,0.03,,Off Target,22.0,Left Foot,,Philip Billing,Pass (Live),David Brooks,Pass (Live),West Ham,d6bbf293
75.0,Philip Billing,Bournemouth,0.02,,Off Target,18.0,Head,,Joe Rothwell,Pass (Dead),Joe Rothwell,Fouled,West Ham,d6bbf293
77.0,Kieffer Moore,Bournemouth,0.04,,Blocked,13.0,Head,,Dominic Solanke,Pass (Live),Illia Zabarnyi,Pass (Live),West Ham,d6bbf293
78.0,Dominic Solanke,Bournemouth,0.05,,Off Target,13.0,Head,,Milos Kerkez,Pass (Live),Chris Mepham,Pass (Live),West Ham,d6bbf293
82.0,Antoine Semenyo,Bournemouth,0.05,,Off Target,24.0,Right Foot,,nan,nan,nan,nan,West Ham,d6bbf293
82.0,Dominic Solanke,Bournemouth,0.87,0.97,Goal,4.0,Right Foot,,Dominic Solanke,Take-On,Antoine Semenyo,Shot,West Ham,d6bbf293
84.0,Danny Ings,West Ham,0.12,,Blocked,14.0,Right Foot,,Lucas Paquetá,Pass (Live),nan,nan,Bournemouth,d6bbf293
85.0,Lucas Paqueta,West Ham,0.06,,Woodwork,16.0,Left Foot,,nan,nan,nan,nan,Bournemouth,d6bbf293
89.0,Antoine Semenyo,Bournemouth,0.02,,Blocked,31.0,Left Foot,,Chris Mepham,Interception,nan,nan,West Ham,d6bbf293
2,Lewis Dunk,Brighton,0.02,,Off Target,14.0,Head,,Pascal Groß,Pass (Dead),James Milner,Pass (Dead),Luton Town,56a137f7
3,Lewis Dunk,Brighton,0.1,,Off Target,6.0,Head,,Mahmoud Dahoud,Pass (Live),Lewis Dunk,Shot,Luton Town,56a137f7
5,Joao Pedro,Brighton,0.35,,Off Target,10.0,Right Foot,,Pascal Groß,Pass (Live),nan,nan,Luton Town,56a137f7
8,Danny Welbeck,Brighton,0.01,,Off Target,30.0,Right Foot,,João Pedro,Pass (Live),Pervis Estupiñán,Pass (Live),Luton Town,56a137f7
14,Pascal Gross,Brighton,0.14,,Off Target,9.0,Head,,Pervis Estupiñán,Pass (Live),Kaoru Mitoma,Pass (Live),Luton Town,56a137f7
18,Solly March,Brighton,0.01,,Blocked,29.0,Left Foot,,Pascal Groß,Pass (Dead),Solly March,Fouled,Luton Town,56a137f7
18,Pervis Estupinan,Brighton,0.04,,Blocked,20.0,Left Foot,,Kaoru Mitoma,Pass (Live),Pervis Estupiñán,Pass (Live),Luton Town,56a137f7
20,Danny Welbeck,Brighton,0.04,0.12,Saved,17.0,Right Foot,,Solly March,Pass (Dead),Danny Welbeck,Pass (Live),Luton Town,56a137f7
23,Pelly Ruddock Mpanzu,Luton Town,0.25,,Off Target,5.0,Head,,Issa Kaboré,Pass (Live),Carlton Morris,Pass (Live),Brighton,56a137f7
26,Mahmoud Dahoud,Brighton,0.02,,Off Target,29.0,Right Foot,,Kaoru Mitoma,Pass (Live),Lewis Dunk,Pass (Live),Luton Town,56a137f7
29,Pelly Ruddock Mpanzu,Luton Town,0.03,,Blocked,16.0,Left Foot,,Elijah Adebayo,Pass (Live),nan,nan,Brighton,56a137f7
33,Kaoru Mitoma,Brighton,0.02,,Off Target,20.0,Right Foot,Volley,Pascal Groß,Pass (Live),James Milner,Pass (Live),Luton Town,56a137f7
34,Marvelous Nakamba,Luton Town,0.01,,Blocked,28.0,Left Foot,Volley,Issa Kaboré,Pass (Live),Issa Kaboré,Interception,Brighton,56a137f7
36,Solly March,Brighton,0.33,0.86,Goal,7.0,Head,,Kaoru Mitoma,Pass (Live),Mahmoud Dahoud,Pass (Live),Luton Town,56a137f7
37,Carlton Morris,Luton Town,0.04,0.03,Saved,10.0,Head,,Ryan John Giles,Pass (Dead),Carlton Morris,Pass (Live),Brighton,56a137f7
38,Issa Kabore,Luton Town,0.02,,Off Target,28.0,Left Foot,,Marvelous Nakamba,Pass (Live),Carlton Morris,Shot,Brighton,56a137f7
39,Danny Welbeck,Brighton,0.17,,Woodwork,16.0,Right Foot,,Pervis Estupiñán,Pass (Live),João Pedro,Pass (Live),Luton Town,56a137f7
40,Pervis Estupinan,Brighton,0.01,0.04,Saved,31.0,Left Foot,Deflected,Mahmoud Dahoud,Pass (Live),Jan Paul van Hecke,Pass (Live),Luton Town,56a137f7
42,Danny Welbeck,Brighton,0.1,,Blocked,12.0,Right Foot,,Kaoru Mitoma,Pass (Live),Pascal Groß,Pass (Live),Luton Town,56a137f7
42,Mahmoud Dahoud,Brighton,0.02,,Blocked,29.0,Right Foot,,Danny Welbeck,Shot,nan,nan,Luton Town,56a137f7
45+1,Carlton Morris,Luton Town,0.08,,Off Target,8.0,Head,,Ryan John Giles,Pass (Live),Tahith Chong,Pass (Live),Brighton,56a137f7
47,Jan Paul van Hecke,Brighton,0.02,0.22,Saved,17.0,Head,,Pervis Estupiñán,Pass (Live),Solly March,Pass (Live),Luton Town,56a137f7
48,Joao Pedro,Brighton,0.06,,Blocked,15.0,Right Foot,,Kaoru Mitoma,Pass (Live),James Milner,Pass (Live),Luton Town,56a137f7
52,Pascal Gross,Brighton,0.01,,Woodwork,23.0,Right Foot,,Solly March,Pass (Dead),João Pedro,Fouled,Luton Town,56a137f7
63,Solly March,Brighton,0.06,0.02,Saved,13.0,Left Foot,,Pascal Groß,Pass (Live),Danny Welbeck,Pass (Live),Luton Town,56a137f7
71,Joao Pedro (pen),Brighton,0.79,0.99,Goal,13.0,Right Foot,,João Pedro,Fouled,Kaoru Mitoma,Pass (Live),Luton Town,56a137f7
81,Carlton Morris (pen),Luton Town,0.79,0.99,Goal,13.0,Right Foot,,nan,Fouled,Carlton Morris,Pass (Live),Brighton,56a137f7
84,Billy Gilmour,Brighton,0.01,0.05,Saved,26.0,Right Foot,,nan,nan,nan,nan,Luton Town,56a137f7
85,Pervis Estupinan,Brighton,0.06,0.12,Saved,13.0,Left Foot,,Pervis Estupiñán,Take-On,Evan Ferguson,Pass (Live),Luton Town,56a137f7
85,Simon Adingra,Brighton,0.25,0.77,Goal,5.0,Right Foot,Volley,nan,nan,nan,nan,Luton Town,56a137f7
86,Evan Ferguson,Brighton,0.05,,Woodwork,18.0,Right Foot,,Pervis Estupiñán,Pass (Live),Kaoru Mitoma,Pass (Live),Luton Town,56a137f7
87,Joao Pedro,Brighton,0.15,0.19,Saved,9.0,Left Foot,,Pascal Groß,Pass (Live),Pervis Estupiñán,Pass (Live),Luton Town,56a137f7
89,Pascal Gross,Brighton,0.35,0.6,Saved,7.0,Right Foot,,Pascal Groß,Take-On,Pervis Estupiñán,Pass (Live),Luton Town,56a137f7
90+2,Jacob Brown,Luton Town,0.11,0.09,Saved,16.0,Right Foot,Volley,Cauley Woodrow,Pass (Live),Ryan John Giles,Pass (Live),Brighton,56a137f7
90+3,Carlton Morris,Luton Town,0.14,,Off Target,9.0,Head,,Cauley Woodrow,Pass (Live),Ryan John Giles,Pass (Dead),Brighton,56a137f7
90+5,Evan Ferguson,Brighton,0.83,0.88,Goal,4.0,Right Foot,,Pervis Estupiñán,Pass (Live),Lewis Dunk,Pass (Live),Luton Town,56a137f7
1,Neal Maupay,Everton,0.05,,Off Target,19.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),James Garner,Interception,Fulham,15addfc7
3,Tom Cairney,Fulham,0.04,,Off Target,21.0,Left Foot,Volley,Willian,Pass (Dead),Harry Wilson,Pass (Live),Everton,15addfc7
5,Abdoulaye Doucoure,Everton,0.54,0.84,Saved,15.0,Right Foot,,Amadou Onana,Pass (Live),Alex Iwobi,Pass (Live),Fulham,15addfc7
18,Alex Iwobi,Everton,0.07,,Blocked,17.0,Right Foot,,Amadou Onana,Pass (Live),Idrissa Gana Gueye,Pass (Live),Fulham,15addfc7
19,Idrissa Gana Gueye,Everton,0.01,,Blocked,22.0,Right Foot,,James Garner,Pass (Dead),Alex Iwobi,Shot,Fulham,15addfc7
21,Alex Iwobi,Everton,0.07,,Off Target,22.0,Right Foot,,Alex Iwobi,Take-On,Neal Maupay,Pass (Live),Fulham,15addfc7
34,Neal Maupay,Everton,0.68,0.92,Saved,4.0,Left Foot,Volley,Alex Iwobi,Pass (Live),Amadou Onana,Pass (Live),Fulham,15addfc7
41,Amadou Onana,Everton,0.05,0.05,Saved,19.0,Right Foot,,Alex Iwobi,Pass (Live),Alex Iwobi,Take-On,Fulham,15addfc7
42,Neal Maupay,Everton,0.53,0.91,Saved,11.0,Right Foot,,Amadou Onana,Pass (Live),Idrissa Gana Gueye,Pass (Live),Fulham,15addfc7
43,Nathan Patterson,Everton,0.04,,Off Target,16.0,Left Foot,,Idrissa Gana Gueye,Pass (Live),nan,nan,Fulham,15addfc7
45,Neal Maupay,Everton,0.08,0.09,Saved,18.0,Right Foot,Volley,Abdoulaye Doucouré,Pass (Live),James Garner,Pass (Live),Fulham,15addfc7
53,Sasa Lukic,Fulham,0.02,,Off Target,22.0,Right Foot,Volley,Tom Cairney,Pass (Live),Tom Cairney,Pass (Live),Everton,15addfc7
57,Raul Jimenez,Fulham,0.07,,Woodwork,13.0,Right Foot,Volley,Harry Wilson,Pass (Live),Kenny Tete,Pass (Live),Everton,15addfc7
57,Bobby Reid,Fulham,0.12,,Off Target,13.0,Right Foot,,Harrison Reed,Pass (Live),Tom Cairney,Pass (Live),Everton,15addfc7
60,Nathan Patterson,Everton,0.01,,Blocked,34.0,Right Foot,,Alex Iwobi,Pass (Live),James Garner,Pass (Dead),Fulham,15addfc7
67,Alex Iwobi,Everton,0.04,0.05,Saved,22.0,Right Foot,,Neal Maupay,Pass (Live),Michael Keane,Pass (Live),Fulham,15addfc7
67,Nathan Patterson,Everton,0.26,,Woodwork,8.0,Right Foot,,Alex Iwobi,Shot,nan,nan,Fulham,15addfc7
69,Harry Wilson,Fulham,0.07,,Off Target,19.0,Left Foot,,Harry Wilson,Take-On,Saša Lukić,Pass (Live),Everton,15addfc7
73,Bobby Reid,Fulham,0.72,0.98,Goal,3.0,Left Foot,,Aleksandar Mitrović,Pass (Live),Harry Wilson,Pass (Live),Everton,15addfc7
77,Bobby Reid,Fulham,0.29,,Off Target,5.0,Right Foot,Volley,Harry Wilson,Pass (Live),Kenny Tete,Pass (Live),Everton,15addfc7
85,Alex Iwobi,Everton,0.15,0.35,Saved,4.0,Right Foot,Volley,Ashley Young,Pass (Live),Lewis Dobbin,Pass (Live),Fulham,15addfc7
85,Michael Keane,Everton,0.03,0.04,Saved,10.0,Head,,Alex Iwobi,Pass (Dead),Alex Iwobi,Shot,Fulham,15addfc7
87,Aleksandar Mitrovic,Fulham,0.06,0.14,Saved,10.0,Right Foot,,Aleksandar Mitrović,Take-On,Kenny Tete,Pass (Live),Everton,15addfc7
88,Aleksandar Mitrovic,Fulham,0.1,,Blocked,12.0,Left Foot,,nan,nan,nan,nan,Everton,15addfc7
90,Idrissa Gana Gueye,Everton,0.04,,Blocked,21.0,Left Foot,Volley,Ashley Young,Pass (Live),Abdoulaye Doucouré,Pass (Live),Fulham,15addfc7
90,James Tarkowski,Everton,0.04,,Off Target,10.0,Head,,Alex Iwobi,Pass (Live),Idrissa Gana Gueye,Shot,Fulham,15addfc7
90+5,Abdoulaye Doucoure,Everton,0.03,,Off Target,12.0,Head,,Amadou Onana,Fouled,Ashley Young,Pass (Dead),Fulham,15addfc7
90+7,Michael Keane,Everton,0.01,0.07,Saved,17.0,Head,,Jordan Pickford,Pass (Dead),Lewis Dobbin,Fouled,Fulham,15addfc7
6,Bruno Guimaraes,Newcastle Utd,0.07,0.25,Saved,26.0,Right Foot,,Kieran Trippier,Pass (Live),Kieran Trippier,Take-On,Aston Villa,8ff2f8fe
6,Sandro Tonali,Newcastle Utd,0.22,0.9,Goal,7.0,Right Foot,Volley,Anthony Gordon,Pass (Live),Joelinton,Pass (Live),Aston Villa,8ff2f8fe
8,Sandro Tonali,Newcastle Utd,0.42,0.68,Saved,12.0,Left Foot,,Anthony Gordon,Pass (Live),Alexander Isak,Pass (Live),Aston Villa,8ff2f8fe
9,Moussa Diaby,Aston Villa,0.02,0.17,Saved,17.0,Left Foot,,Tyrone Mings,Pass (Live),Tyrone Mings,Interception,Newcastle Utd,8ff2f8fe
11,Moussa Diaby,Aston Villa,0.13,0.13,Goal,14.0,Right Foot,Volley,Ollie Watkins,Pass (Live),Douglas Luiz,Pass (Live),Newcastle Utd,8ff2f8fe
16,Alexander Isak,Newcastle Utd,0.44,0.32,Goal,10.0,Right Foot,,Sven Botman,Pass (Live),Sandro Tonali,Pass (Live),Aston Villa,8ff2f8fe
21,Tyrone Mings,Aston Villa,0.01,,Blocked,18.0,Head,,John McGinn,Pass (Dead),Ezri Konsa,Fouled,Newcastle Utd,8ff2f8fe
24,Ollie Watkins,Aston Villa,0.16,,Off Target,12.0,Right Foot,,Moussa Diaby,Pass (Live),Leon Bailey,Pass (Live),Newcastle Utd,8ff2f8fe
35,Douglas Luiz,Aston Villa,0.11,,Off Target,8.0,Head,,Lucas Digne,Pass (Dead),Moussa Diaby,Pass (Live),Newcastle Utd,8ff2f8fe
42,Moussa Diaby,Aston Villa,0.12,,Off Target,10.0,Right Foot,,Douglas Luiz,Pass (Live),Moussa Diaby,Pass (Live),Newcastle Utd,8ff2f8fe
45+7,Douglas Luiz,Aston Villa,0.02,,Blocked,23.0,Right Foot,,Matty Cash,Pass (Live),nan,nan,Newcastle Utd,8ff2f8fe
45+10,Dan Burn,Newcastle Utd,0.16,,Off Target,5.0,Head,,Kieran Trippier,Pass (Dead),Miguel Almirón,Fouled,Aston Villa,8ff2f8fe
48,Bruno Guimaraes,Newcastle Utd,0.03,,Blocked,18.0,Right Foot,,Miguel Almirón,Pass (Live),Kieran Trippier,Pass (Live),Aston Villa,8ff2f8fe
51,Anthony Gordon,Newcastle Utd,0.07,,Blocked,14.0,Right Foot,Volley,Sandro Tonali,Pass (Live),Miguel Almirón,Pass (Live),Aston Villa,8ff2f8fe
52,Sven Botman,Newcastle Utd,0.07,,Off Target,10.0,Head,,Kieran Trippier,Pass (Dead),Anthony Gordon,Shot,Aston Villa,8ff2f8fe
55,Boubacar Kamara,Aston Villa,0.03,,Off Target,7.0,Head,,Lucas Digne,Pass (Dead),Douglas Luiz,Pass (Live),Newcastle Utd,8ff2f8fe
58,Alexander Isak,Newcastle Utd,0.08,0.54,Goal,10.0,Right Foot,,Bruno Guimarães,Pass (Live),Bruno Guimarães,Take-On,Aston Villa,8ff2f8fe
60,Douglas Luiz,Aston Villa,0.02,,Blocked,32.0,Right Foot,,Boubacar Kamara,Pass (Live),Douglas Luiz,Pass (Live),Newcastle Utd,8ff2f8fe
60,Alexander Isak,Newcastle Utd,0.25,0.3,Saved,14.0,Right Foot,,Miguel Almirón,Pass (Live),Joelinton,Pass (Live),Aston Villa,8ff2f8fe
62,Miguel Almiron,Newcastle Utd,0.05,0.02,Saved,21.0,Left Foot,,nan,nan,nan,nan,Aston Villa,8ff2f8fe
64,Ollie Watkins,Aston Villa,0.16,0.39,Saved,14.0,Right Foot,,Ollie Watkins,Take-On,Moussa Diaby,Pass (Live),Newcastle Utd,8ff2f8fe
64,Matty Cash,Aston Villa,0.7,,Off Target,9.0,Right Foot,,Ollie Watkins,Shot,nan,nan,Newcastle Utd,8ff2f8fe
74,Matty Cash,Aston Villa,0.02,0.57,Saved,22.0,Right Foot,,Pau Torres,Pass (Live),Boubacar Kamara,Pass (Live),Newcastle Utd,8ff2f8fe
75,Diego Carlos,Aston Villa,0.06,,Off Target,10.0,Head,,Lucas Digne,Pass (Dead),Matty Cash,Shot,Newcastle Utd,8ff2f8fe
77,Callum Wilson,Newcastle Utd,0.47,0.78,Goal,10.0,Right Foot,,Harvey Barnes,Pass (Live),Sandro Tonali,Pass (Live),Aston Villa,8ff2f8fe
80,Callum Wilson,Newcastle Utd,0.02,0.04,Saved,11.0,Right Foot,,Dan Burn,Pass (Live),Joelinton,Pass (Live),Aston Villa,8ff2f8fe
81,Callum Wilson,Newcastle Utd,0.39,0.81,Saved,9.0,Right Foot,,Harvey Barnes,Pass (Live),Joelinton,Pass (Live),Aston Villa,8ff2f8fe
82,Joelinton,Newcastle Utd,0.12,,Blocked,4.0,Head,Deflected,Kieran Trippier,Pass (Dead),Callum Wilson,Shot,Aston Villa,8ff2f8fe
90,Philippe Coutinho,Aston Villa,0.08,,Off Target,11.0,Right Foot,,Youri Tielemans,Pass (Live),Lucas Digne,Pass (Live),Newcastle Utd,8ff2f8fe
90+1,Harvey Barnes,Newcastle Utd,0.53,0.95,Goal,10.0,Right Foot,,Jacob Murphy,Pass (Live),Jacob Murphy,Take-On,Aston Villa,8ff2f8fe
90+2,Callum Wilson,Newcastle Utd,0.03,0.2,Saved,32.0,Right Foot,,Jacob Murphy,Pass (Live),nan,nan,Aston Villa,8ff2f8fe
90+4,Douglas Luiz,Aston Villa,0.03,0.35,Saved,21.0,Right Foot,Free kick,Lucas Digne,Fouled,Philippe Coutinho,Pass (Live),Newcastle Utd,8ff2f8fe
