team,minute,score,player1,player2,event_type,game_id
Manchester City,23,0:1,Mateo Kovačić,Kevin De Bruyne,substitute_in,3a6836b4
Burnley,61,0:2,Jacob Bruun Larsen,Luca Koleosho,substitute_in,3a6836b4
Burnley,61,0:2,Anass Zaroury,Zeki Amdouni,substitute_in,3a6836b4
Burnley,74,0:2,Benson Manuel,Jordan Beyer,substitute_in,3a6836b4
Manchester City,79,0:3,Joško Gvardiol,Rico Lewis,substitute_in,3a6836b4
Manchester City,79,0:3,Aymeric Laporte,Nathan Aké,substitute_in,3a6836b4
Manchester City,80,0:3,Cole Palmer,Erling Haaland,substitute_in,3a6836b4
Burnley,90+1,0:3,Josh Brownhill,Sander Berge,substitute_in,3a6836b4
Burnley,90+1,0:3,Nathan Redmond,Lyle Foster,substitute_in,3a6836b4
Manchester City,90+5,0:3,James Mcatee,Kyle Walker,substitute_in,3a6836b4
Arsenal,50,2:0,Takehiro Tomiyasu,Jurriën Timber,substitute_in,26a7f90c
Nottingham Forest,71,2:0,Taiwo Awoniyi,Danilo,substitute_in,26a7f90c
Nottingham Forest,72,2:0,Neco Williams,Ola Aina,substitute_in,26a7f90c
Arsenal,74,2:0,Leandro Trossard,Eddie Nketiah,substitute_in,26a7f90c
Nottingham Forest,80,2:0,Anthony Elanga,Brennan Johnson,substitute_in,26a7f90c
Arsenal,86,2:1,Gabriel Dos Santos,Gabriel Martinelli,substitute_in,26a7f90c
Nottingham Forest,90,2:1,Chris Wood,Joe Worrall,substitute_in,26a7f90c
Nottingham Forest,90,2:1,Cheikhou Kouyaté,Orel Mangala,substitute_in,26a7f90c
Bournemouth,60,0:1,Chris Mepham,Marcos Senesi,substitute_in,d6bbf293
Bournemouth,60,0:1,Justin Kluivert,Jaidon Anthony,substitute_in,d6bbf293
Bournemouth,67,0:1,Kieffer Moore,Ryan Christie,substitute_in,d6bbf293
Bournemouth,75,0:1,James Hill,Max Aarons,substitute_in,d6bbf293
Bournemouth,75,0:1,Antoine Semenyo,David Brooks,substitute_in,d6bbf293
West Ham United,78,0:1,Danny Ings,Michail Antonio,substitute_in,d6bbf293
West Ham United,86,1:1,Thilo Kehrer,Pablo Fornals,substitute_in,d6bbf293
West Ham United,90+4,1:1,Maxwel Cornet,Lucas Paquetá,substitute_in,d6bbf293
Fulham,46,0:0,Bobby Reid,Willian,substitute_in,15addfc7
Fulham,58,0:0,Aleksandar Mitrović,Raúl Jiménez,substitute_in,15addfc7
Fulham,58,0:0,Andreas Pereira,Tom Cairney,substitute_in,15addfc7
Everton,72,0:0,Arnaut Danjuma,Neal Maupay,substitute_in,15addfc7
Everton,83,0:1,Lewis Dobbin,James Garner,substitute_in,15addfc7
Aston Villa,31,2:1,Pau Torres,Tyrone Mings,substitute_in,8ff2f8fe
Aston Villa,46,2:1,Youri Tielemans,Leon Bailey,substitute_in,8ff2f8fe
Aston Villa,64,3:1,Diego Carlos,John McGinn,substitute_in,8ff2f8fe
Newcastle United,68,3:1,Harvey Barnes,Anthony Gordon,substitute_in,8ff2f8fe
Newcastle United,68,3:1,Callum Wilson,Alexander Isak,substitute_in,8ff2f8fe
Newcastle United,85,4:1,Sean Longstaff,Bruno Guimarães,substitute_in,8ff2f8fe
Newcastle United,86,4:1,Jacob Murphy,Miguel Almirón,substitute_in,8ff2f8fe
Aston Villa,87,4:1,Jaden Philogene Bidace,Matty Cash,substitute_in,8ff2f8fe
Aston Villa,87,4:1,Philippe Coutinho,Moussa Diaby,substitute_in,8ff2f8fe
Newcastle United,90+2,5:1,Elliot Anderson,Sandro Tonali,substitute_in,8ff2f8fe
Sheffield United,80,0:1,Yasser Larouci,Max Lowe,substitute_in,55fd92c7
Sheffield United,80,0:1,Vinicius Souza,Chris Basham,substitute_in,55fd92c7
Sheffield United,80,0:1,Anis Ben Slimane,Jack Robinson,substitute_in,55fd92c7
Sheffield United,87,0:1,Andre Brooks,Ben Osborn,substitute_in,55fd92c7
