Player,Team,Position,LiveRkOv,FPTS,GS,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,GP,MIN,Ghost Points,Negative Fpts,90s,FPts/90
Jack Grealish,MCI,M,203.25,23.0,2,0,7,1,0,1,5,1,0,1,1,1,2,1,1,0,0,0,1,1,4,191,16.0,-4.5,2.12,10.85
Jack Harrison,EVE,M,251.0,30.5,1,1,3,1,1,1,1,0,0,2,1,1,2,0,2,0,0,0,0,1,2,122,14.5,-0.5,1.36,22.43
Jack Hinshelwood,BHA,M,317.0,7.0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,1,85,7.0,0.0,0.94,7.45
Jack Robinson,SHU,D,291.75,9.5,7,0,3,1,0,9,0,2,0,0,8,34,1,9,9,0,0,0,22,0,8,673,2.5,-48.0,7.48,1.27
Jacob Brown,LUT,F,195.29,31.0,5,0,5,1,3,4,14,2,0,3,4,3,2,0,14,0,0,0,10,0,8,429,25.0,-11.0,4.77,6.5
Jacob Bruun Larsen,BUR,F,275.83,22.0,0,1,2,0,2,1,2,0,0,0,0,3,4,0,2,0,0,0,3,0,7,128,13.0,-1.0,1.42,15.49
Jacob Murphy,NEW,M,275.67,14.0,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,11,8.0,0.0,0.12,116.67
Jacob Ramsey,AVL,M,250.5,15.5,0,1,0,0,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,46,6.5,-1.0,0.51,30.39
Jaden Philogene-Bidace,AVL,M,644.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.0,0.0,0.02,0.0
Jadon Sancho,MUN,M,330.0,5.0,0,0,1,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,3,73,5.0,-1.0,0.81,6.17
Jaidon Anthony,BOU,F,344.0,3.5,2,0,0,0,1,1,2,1,0,0,1,2,2,0,1,0,0,0,5,0,3,150,3.5,-3.0,1.67,2.1
Jairo Riedewald,CRY,M,366.0,5.0,1,0,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,1,2,85,4.0,-0.5,0.94,5.32
Jakub Kiwior,ARS,D,361.0,2.5,1,0,0,0,1,2,0,0,0,0,0,2,0,1,1,0,0,0,2,0,2,91,2.5,-4.0,1.01,2.48
Jamaal Lascelles,NEW,D,269.33,15.25,2,0,1,0,0,0,0,0,0,0,0,5,1,0,9,0,0,0,2,1,3,195,9.25,-4.0,2.17,7.03
James Garner,EVE,M,73.25,68.5,7,1,12,1,4,9,3,1,0,3,3,3,4,2,6,0,0,0,11,1,8,615,52.5,-3.5,6.83,10.03
James Hill,BOU,D,390.0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,0.5,-0.5,0.16,3.12
James Maddison,TOT,M,3.75,140.5,8,2,25,5,13,4,12,2,0,3,3,2,13,0,1,0,0,0,7,3,8,667,89.5,-10.0,7.41,18.96
James Mcatee,SHU,M,295.4,12.0,3,0,2,0,2,3,6,1,0,1,1,0,3,0,0,0,0,0,11,1,5,236,11.0,-5.0,2.62,4.58
James Milner,BHA,M,310.0,7.5,3,0,1,0,0,5,1,2,0,0,3,6,0,0,2,0,0,0,4,1,5,225,6.5,-4.5,2.5,3.0
James Tarkowski,EVE,D,54.12,81.5,8,1,7,1,1,7,4,0,0,1,13,30,2,12,26,0,0,0,12,1,8,718,58.5,-26.0,7.98,10.21
James Tomkins,CRY,D,684.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01,0.0
James Ward-Prowse,WHU,M,13.0,107.0,7,2,15,3,6,6,3,1,0,4,12,10,3,4,5,0,0,0,11,1,7,620,70.0,-3.5,6.89,15.53
Jan-Paul van Hecke,BHA,D,242.25,19.75,3,0,0,0,1,2,0,1,0,0,5,11,0,7,9,0,0,0,3,0,4,296,19.75,-8.0,3.29,6.0
Jarell Quansah,LIV,D,311.0,7.5,1,0,0,0,0,3,0,0,0,0,2,6,1,0,2,0,0,0,1,0,3,112,7.5,-2.0,1.24,6.05
Jarrad Branthwaite,EVE,D,185.17,37.5,6,0,1,0,1,6,0,3,0,1,10,22,1,6,18,0,0,0,7,1,6,540,31.5,-20.0,6.0,6.25
Jarrod Bowen,WHU,M,11.12,109.0,8,5,5,1,11,10,10,1,0,0,5,4,10,0,14,0,0,0,12,1,8,718,57.0,-7.0,7.98,13.66
Jay Rodriguez,BUR,F,370.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,4,64,3.0,0.0,0.71,4.23
Jayden Bogle,SHU,D,234.0,23.5,4,1,2,1,1,1,4,0,0,2,6,6,2,0,2,0,0,0,9,1,5,316,0.5,-20.0,3.51,6.7
Jean-Philippe Mateta,CRY,F,183.5,29.0,2,0,5,3,2,2,16,0,0,0,0,2,1,0,4,0,0,0,4,2,6,299,11.0,-8.0,3.32,8.73
Jean-Ricner Bellegarde,WOL,M,424.0,0.0,2,0,1,0,0,2,1,0,1,0,0,1,2,1,1,0,0,0,1,0,2,114,0.0,-7.5,1.27,0.0
Jefferson Lerma,CRY,M,126.0,38.5,4,0,6,0,2,6,4,0,0,0,7,10,2,1,15,0,0,0,4,1,4,360,37.5,-2.0,4.0,9.62
Jeffrey Schlupp,CRY,M,120.88,41.0,8,0,9,0,3,6,10,0,0,0,1,6,6,1,10,0,0,0,6,3,8,564,38.0,-5.0,6.27,6.54
Jeremy Doku,MCI,F,84.8,56.0,4,1,8,0,3,6,3,1,0,2,5,1,15,0,1,0,0,0,5,0,5,324,47.0,-3.5,3.6,15.56
Jesurun Rak-Sakyi,CRY,M,344.25,10.0,0,0,1,0,0,1,2,0,0,0,2,1,4,0,2,0,0,0,1,1,4,71,9.0,-1.0,0.79,12.66
Jhon Duran,AVL,F,188.33,25.5,0,2,1,0,3,2,3,2,0,0,0,1,1,0,4,0,0,0,0,0,6,63,7.5,-5.5,0.7,36.43
Joachim Andersen,CRY,D,8.75,125.0,8,2,9,0,4,8,1,0,0,5,6,46,7,7,25,0,0,0,7,4,8,720,81.0,-14.5,8.0,15.62
Joao Gomes,WOL,M,155.25,31.5,8,0,4,1,0,15,11,3,0,1,4,7,5,1,4,0,0,0,13,1,8,624,24.5,-11.5,6.93,4.55
Joao Palhinha,FUL,M,203.0,31.0,5,1,0,0,1,11,8,3,0,0,10,8,1,1,10,0,0,0,6,2,6,472,20.0,-10.0,5.24,5.92
Joao Pedro,BHA,F,44.62,69.0,3,2,12,1,3,5,12,1,0,1,3,7,9,0,6,0,1,0,9,1,8,408,45.0,-8.0,4.53,15.23
Joe Rothwell,BOU,M,271.2,14.0,3,0,3,0,0,1,2,0,0,0,2,1,5,1,0,0,0,0,7,0,5,269,14.0,-1.0,2.99,4.68
Joe Worrall,NOT,D,224.0,19.75,5,0,2,0,0,5,0,0,1,0,3,23,0,4,11,0,0,0,6,1,5,424,13.75,-19.0,4.71,4.19
Joel Matip,LIV,D,192.33,28.5,6,0,1,0,0,4,3,0,0,0,8,28,0,4,16,0,0,1,6,1,6,508,22.5,-18.5,5.64,5.05
Joel Veltman,BHA,D,222.75,18.0,5,0,2,1,1,16,2,1,0,0,5,16,1,5,3,0,0,0,13,0,8,509,11.0,-29.0,5.66,3.18
Joel Ward,CRY,D,154.43,32.5,7,0,0,0,0,9,1,3,0,0,4,20,2,3,12,0,0,0,7,3,7,622,14.5,-20.5,6.91,4.7
Joelinton,NEW,M,185.0,26.0,4,0,5,0,2,7,1,1,0,0,3,3,3,1,1,0,0,0,4,0,5,287,26.0,-2.5,3.19,8.15
Johann Gudmundsson,BUR,M,228.0,19.0,3,0,4,1,0,1,0,1,0,1,3,3,1,0,2,0,0,0,4,0,4,171,13.0,-2.0,1.9,10.0
John Egan,SHU,D,304.83,8.25,6,0,0,0,1,4,1,2,0,0,13,39,0,4,14,0,0,0,17,0,6,482,8.25,-38.5,5.36,1.54
John McGinn,AVL,M,86.5,61.0,8,1,11,1,2,3,4,2,0,5,4,1,12,0,0,0,0,0,10,2,8,657,44.0,-6.0,7.3,8.36
John Stones,MCI,D,680.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21,-2.0,-2.0,0.23,-8.7
Jonny,WOL,D,384.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1.0,0.0,0.03,33.33
Jonny Evans,MUN,D,229.33,25.0,2,0,2,1,0,1,0,0,0,0,2,12,0,1,7,0,0,0,3,1,3,183,12.0,-6.0,2.03,12.32
Jordan Ayew,CRY,F,65.38,59.0,8,0,8,2,5,8,24,2,0,2,5,1,15,0,14,0,0,0,4,4,8,654,47.0,-16.0,7.27,8.12
Jordan Beyer,BUR,D,317.6,16.0,6,0,0,0,0,12,1,3,0,0,8,26,2,6,12,0,0,0,12,0,6,502,16.0,-30.5,5.58,2.87
Jorginho,ARS,M,353.83,3.0,1,0,0,0,0,1,3,1,0,1,1,1,1,1,1,0,0,0,2,1,6,143,2.0,-3.5,1.59,1.89
Joseph Gomez,LIV,D,146.86,36.5,4,0,4,0,0,6,2,1,0,2,7,14,3,1,9,0,0,0,3,1,7,421,30.5,-9.0,4.68,7.8
Josh Brownhill,BUR,M,155.33,43.0,5,1,9,0,1,9,5,1,0,0,6,10,0,1,5,0,0,0,12,0,7,491,34.0,-4.5,5.46,7.88
Josh Cullen,BUR,M,169.43,35.5,8,0,5,1,0,9,2,3,0,1,6,9,1,6,7,0,0,0,18,0,8,690,29.5,-7.0,7.67,4.63
Josh Dasilva,BRF,M,473.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0.0,0.0,0.1,0.0
Josko Gvardiol,MCI,D,139.17,40.25,5,0,4,0,2,6,5,1,0,1,4,7,3,3,8,0,0,0,3,2,6,458,28.25,-10.5,5.09,7.91
Julian Alvarez,MCI,F,6.38,122.5,8,3,19,5,10,4,6,2,0,3,1,3,4,0,1,0,1,0,5,3,8,661,65.5,-7.0,7.34,16.69
Julio Enciso,BHA,F,212.0,22.0,1,0,2,2,1,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,2,67,10.0,-2.0,0.74,29.73
Jurrien Timber,ARS,D,395.0,0.25,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,49,0.25,-2.0,0.54,0.46
Justin Kluivert,BOU,M,229.71,19.0,4,0,4,0,1,1,7,0,0,1,4,1,6,0,1,0,0,0,7,0,7,331,19.0,-3.5,3.68,5.16
Kai Havertz,ARS,F,169.38,37.5,5,1,7,1,1,5,5,3,0,0,3,4,1,1,10,0,0,0,4,2,8,459,22.5,-8.5,5.1,7.35
Kalvin Phillips,MCI,M,342.0,4.0,0,0,0,0,0,2,2,0,0,1,1,2,1,0,0,0,0,0,1,0,3,67,4.0,-1.0,0.74,5.41
Kaoru Mitoma,BHA,M,15.25,103.0,7,3,16,3,5,2,6,3,0,3,4,2,15,0,2,0,0,0,15,0,8,665,58.0,-9.0,7.39,13.94
Keane Lewis-Potter,BRF,F,300.67,9.5,2,0,1,0,1,0,4,0,0,1,1,2,5,0,1,0,0,0,5,0,6,214,9.5,-2.0,2.38,3.99
Kenny Tete,FUL,D,208.0,22.5,5,0,1,0,0,6,3,2,0,4,7,16,5,1,3,0,0,0,8,2,5,427,10.5,-21.5,4.74,4.75
Kevin De Bruyne,MCI,M,336.0,4.0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,22,4.0,0.0,0.24,16.67
Kevin Schade,BRF,M,140.0,35.0,3,1,3,1,2,1,3,0,0,2,1,3,1,0,11,0,0,0,2,1,5,253,19.0,-1.5,2.81,12.46
Kieffer Moore,BOU,F,375.75,5.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,4,74,5.5,-0.5,0.82,6.71
Kieran Trippier,NEW,D,4.5,143.75,8,0,27,5,0,8,2,1,0,14,6,7,7,5,16,0,0,0,9,3,8,699,90.75,-21.0,7.77,18.5
Konstantinos Mavropanos,WHU,D,587.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01,0.0
Konstantinos Tsimikas,LIV,D,388.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1.0,0.0,0.03,33.33
Kristoffer Ajer,BRF,D,239.67,20.75,3,0,2,1,1,5,3,0,0,0,2,13,2,1,10,0,0,0,7,0,6,298,13.75,-15.5,3.31,6.27
Kurt Zouma,WHU,D,90.5,53.0,8,1,1,0,2,5,0,1,0,0,13,52,0,6,20,0,0,0,12,1,8,720,37.0,-26.0,8.0,6.62
Kyle Walker,MCI,D,81.25,54.75,8,0,9,1,1,4,3,1,0,4,3,9,6,0,6,0,0,0,6,3,8,718,29.75,-15.5,7.98,6.86
Leander Dendoncker,AVL,M,383.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1.0,0.0,0.02,50.0
Leandro Trossard,ARS,M,157.75,34.0,2,1,7,0,1,3,2,0,0,2,2,1,2,0,0,0,0,0,2,1,4,171,24.0,-1.0,1.9,17.89
Leon Bailey,AVL,F,118.5,43.5,2,2,4,1,2,0,5,1,0,3,2,1,6,0,2,0,0,0,4,1,6,205,19.5,-4.5,2.28,19.08
Lesley Ugochukwu,CHE,F,301.8,9.5,1,0,1,0,0,3,1,0,0,0,0,2,3,1,2,0,0,0,1,1,5,129,9.5,-0.5,1.43,6.64
Levi Colwill,CHE,D,99.25,66.0,8,0,4,1,2,11,2,0,0,0,6,16,4,4,15,0,0,0,7,3,8,709,41.0,-15.0,7.88,8.38
Lewis Cook,BOU,M,149.0,38.0,5,0,4,0,1,6,3,0,0,0,14,2,4,3,3,0,0,0,13,1,6,470,37.0,-1.5,5.22,7.28
Lewis Dobbin,EVE,F,276.0,11.5,1,0,1,0,1,2,2,0,0,0,1,0,5,0,1,0,0,0,2,1,3,116,11.5,-1.0,1.29,8.91
Lewis Dunk,BHA,D,299.5,23.5,8,1,3,0,2,3,1,2,0,1,6,16,3,8,15,0,0,0,16,0,8,720,13.5,-36.5,8.0,2.94
Lewis Hall,NEW,D,715.0,-1.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,-1.0,-1.0,0.09,-11.11
Lisandro Martinez,MUN,D,363.0,2.5,5,0,3,1,0,6,2,2,0,0,2,10,2,2,1,0,0,1,8,0,5,375,-4.5,-26.0,4.17,0.6
Lloyd Kelly,BOU,D,243.0,16.25,3,0,3,0,0,3,0,1,0,0,3,9,1,3,4,0,0,0,5,1,4,275,10.25,-12.0,3.06,5.31
Luca Koleosho,BUR,F,130.43,47.0,7,0,9,1,2,1,10,0,0,2,0,0,21,0,0,0,0,0,15,1,8,500,41.0,-5.0,5.56,8.45
Lucas Digne,AVL,D,36.12,75.75,8,0,15,3,1,7,7,4,0,10,15,13,1,0,10,0,0,0,12,2,8,710,42.75,-35.5,7.89,9.6
Lucas Paqueta,WHU,M,41.62,69.5,8,1,9,1,3,20,21,4,0,1,9,9,10,0,14,0,0,0,11,2,8,704,52.5,-18.5,7.82,8.89
Luis Diaz,LIV,F,87.0,55.0,7,2,7,0,4,7,13,0,0,0,1,0,12,0,3,0,0,0,7,1,8,544,37.0,-6.5,6.04,9.11
Luis Sinisterra,BOU,F,313.67,12.5,0,0,3,0,0,2,0,0,0,0,1,0,3,0,1,0,0,0,2,0,3,78,12.5,0.0,0.87,14.37
Luke Berry,LUT,M,432.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,24,0.0,0.0,0.27,0.0
Luke Harris,FUL,M,355.0,3.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,73,3.0,0.0,0.81,3.7
Luke Shaw,MUN,D,203.0,22.75,2,0,6,0,0,2,1,1,0,0,2,9,1,3,1,0,0,0,2,1,2,180,16.75,-6.5,2.0,11.38
Luke Thomas,SHU,D,722.2,-1.75,4,0,1,0,1,3,3,0,0,3,1,11,5,3,4,0,0,0,13,0,5,356,-1.75,-27.5,3.96,-0.44
Lyle Foster,BUR,F,126.33,56.5,6,3,4,2,5,1,9,0,1,0,0,10,3,1,12,0,0,0,16,1,6,515,17.5,-11.5,5.72,9.88
Mads Andersen,LUT,D,175.67,32.0,4,1,0,0,1,5,0,1,0,0,8,24,0,5,10,0,0,0,6,0,6,370,22.0,-14.0,4.11,7.79
Mads Roerslev,BRF,D,251.33,17.75,2,0,5,0,0,5,2,0,0,5,1,7,2,0,2,0,0,0,4,0,6,226,17.75,-9.0,2.51,7.07
Mahmoud Dahoud,BHA,M,232.0,18.5,3,0,5,1,0,2,1,1,0,1,0,4,0,1,0,0,0,0,3,1,5,242,11.5,-2.5,2.69,6.88
Malo Gusto,CHE,D,124.0,38.5,5,0,3,2,0,6,1,0,1,2,3,4,6,1,1,0,0,0,3,2,6,408,12.5,-13.5,4.53,8.5
Manor Solomon,TOT,F,82.0,52.0,2,0,12,2,1,3,2,1,0,1,3,1,10,0,0,0,0,0,2,0,5,193,40.0,-3.0,2.14,24.3
Manuel Akanji,MCI,D,106.67,43.75,6,0,4,0,1,7,2,1,0,0,6,11,1,5,5,0,0,0,4,3,6,540,25.75,-11.0,6.0,7.29
Marc Cucurella,CHE,D,294.0,13.75,2,0,1,0,0,4,0,2,0,0,4,7,0,0,2,0,0,0,1,1,2,180,7.75,-6.0,2.0,6.88
Marc Guehi,CRY,D,96.14,60.0,7,0,2,0,0,7,1,0,0,0,5,34,3,9,8,0,0,0,4,4,7,628,36.0,-8.5,6.98,8.6
Marcos Senesi,BOU,D,289.29,9.75,5,0,2,1,0,6,1,1,0,0,3,25,4,5,3,0,0,0,13,0,7,434,2.75,-28.5,4.82,2.02
Marcus Rashford,MUN,F,41.62,73.0,8,1,9,2,7,2,16,1,0,0,0,3,22,1,6,0,1,0,12,2,8,669,52.0,-10.0,7.43,9.83
Marcus Tavernier,BOU,M,159.6,39.5,4,0,5,1,2,2,8,0,0,1,2,1,16,1,1,0,0,0,9,1,5,300,32.5,-4.0,3.33,11.86
Mario Lemina,WOL,M,148.62,36.5,8,0,2,0,2,14,4,4,1,1,17,14,6,2,9,0,0,0,12,1,8,705,35.5,-17.0,7.83,4.66
Martin Odegaard,ARS,M,18.0,97.5,8,3,13,2,10,5,17,1,0,3,2,1,7,0,0,0,1,0,5,4,8,709,54.5,-10.5,7.88,12.37
Marvelous Nakamba,LUT,M,124.29,43.0,8,0,7,0,0,20,3,3,0,1,7,6,3,4,3,0,0,0,15,0,8,720,43.0,-7.5,8.0,5.38
Mason Burstow,CHE,F,442.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0.0,0.0,0.08,0.0
Mason Mount,MUN,M,257.75,16.5,4,0,4,0,0,5,5,1,0,0,2,0,3,1,2,0,0,0,4,1,4,289,15.5,-4.5,3.21,5.14
Mateo Kovacic,MCI,M,209.5,22.0,5,0,5,0,1,8,4,2,0,0,1,2,4,0,0,0,0,0,3,3,6,455,19.0,-6.0,5.06,4.35
Matheus Cunha,WOL,F,66.38,59.0,8,1,6,1,4,6,16,0,0,0,2,4,19,2,6,0,0,0,12,1,8,630,44.0,-8.0,7.0,8.43
Matheus Nunes,MCI,M,172.67,31.5,4,0,4,1,0,3,6,0,1,2,6,5,13,1,3,0,0,0,7,1,6,356,24.5,-10.0,3.96,7.95
Mathias Jensen,BRF,M,20.12,105.5,8,3,15,2,4,12,7,1,0,5,6,8,3,2,2,0,1,0,9,3,8,618,63.5,-5.5,6.87,15.36
Matt Doherty,WOL,D,375.0,2.25,0,0,1,0,0,0,0,0,0,0,1,9,2,1,2,0,0,0,4,0,4,134,2.25,-8.0,1.49,1.51
Matt Targett,NEW,D,730.33,-7.5,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,3,76,-7.5,-10.0,0.84,-8.93
Matty Cash,AVL,D,67.5,60.25,8,2,2,1,8,11,3,2,0,2,6,15,4,4,3,0,0,1,11,2,8,707,21.25,-32.5,7.86,7.67
Max Aarons,BOU,D,294.25,10.0,7,0,4,0,0,10,5,1,0,3,3,10,6,4,2,0,0,0,15,1,8,617,4.0,-34.5,6.86,1.46
Max Kilman,WOL,D,160.62,36.25,8,0,4,0,2,3,3,1,0,0,9,39,3,7,18,0,0,0,14,1,8,720,30.25,-31.5,8.0,4.53
Max Lowe,SHU,D,306.0,8.0,2,0,1,0,0,5,0,0,0,0,1,4,0,2,1,0,0,0,2,0,2,124,8.0,-4.0,1.38,5.8
Maxwel Cornet,WHU,M,465.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01,0.0
Michael Keane,EVE,D,351.0,3.25,2,0,0,0,2,2,1,1,0,0,3,7,0,0,5,0,0,0,5,0,3,181,3.25,-12.5,2.01,1.62
Michael Olakigbe,BRF,F,366.0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,9,2.5,0.0,0.1,25.0
Michail Antonio,WHU,F,90.62,49.5,8,2,4,1,3,1,11,2,0,0,1,1,12,3,8,0,0,0,6,4,8,593,25.5,-9.5,6.59,7.51
Micky van de Ven,TOT,D,153.0,53.0,8,1,0,0,1,10,1,1,0,0,3,22,5,5,13,0,0,0,8,3,8,718,25.0,-18.5,7.98,6.64
Miguel Almiron,NEW,M,99.38,44.5,7,2,4,0,4,4,6,1,0,0,5,3,4,0,1,0,0,0,6,2,8,561,24.5,-5.0,6.23,7.14
Mike Tresor,BUR,F,335.0,6.0,1,0,2,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,3,0,3,142,6.0,-1.0,1.58,3.8
Mikkel Damsgaard,BRF,M,353.0,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,50,3.0,0.0,0.56,5.36
Milos Kerkez,BOU,D,252.0,13.75,8,0,2,0,0,10,7,1,0,5,8,21,7,2,11,0,0,1,17,1,8,670,7.75,-44.5,7.44,1.85
Mohamed Salah,LIV,F,7.75,136.0,8,5,17,4,12,6,12,1,0,2,1,0,8,1,2,1,1,0,8,1,8,682,67.0,-12.0,7.58,17.94
Mohammed Kudus,WHU,M,271.2,24.5,0,1,1,0,1,5,1,0,0,0,1,1,6,0,0,0,0,0,4,0,5,68,15.5,-0.5,0.76,32.24
Moises Caicedo,CHE,M,238.17,28.0,5,0,2,0,1,7,3,1,0,0,2,4,5,5,9,0,0,0,4,2,6,450,26.0,-3.5,5.0,5.6
Morgan Gibbs-White,NOT,M,45.12,79.0,7,0,15,2,2,7,6,2,0,4,6,2,14,2,10,0,0,0,9,2,8,658,65.0,-7.0,7.31,10.81
Moussa Diaby,AVL,F,20.88,89.5,8,2,12,4,8,1,11,0,0,3,1,1,8,0,0,0,0,0,11,2,8,620,47.5,-5.5,6.89,12.99
Moussa Niakhate,NOT,D,725.0,-2.25,2,0,0,0,0,4,0,0,1,0,1,3,0,1,4,0,0,0,3,0,4,178,-2.25,-13.0,1.98,-1.14
Murillo,NOT,M,311.5,17.5,2,0,2,0,2,2,1,0,0,0,1,14,3,2,2,0,0,0,1,1,2,180,16.5,-0.5,2.0,8.75
Mykhailo Mudryk,CHE,M,200.71,32.0,3,1,5,0,1,4,2,1,0,2,0,2,6,0,0,0,0,0,2,2,7,238,21.0,-3.0,2.64,12.12
Naouirou Ahamada,CRY,M,334.0,4.0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,34,4.0,0.0,0.38,10.53
Nathan Ake,MCI,D,135.71,36.75,5,1,1,0,2,6,0,0,0,0,5,7,0,0,12,0,0,0,5,1,7,460,20.75,-10.0,5.11,7.19
Nathan Collins,BRF,D,116.38,45.25,7,0,2,1,0,5,1,2,0,0,12,31,6,1,21,0,0,0,10,1,8,638,32.25,-24.5,7.09,6.38
Nathan Patterson,EVE,D,222.57,20.75,4,0,5,1,0,11,3,1,0,3,4,5,2,1,1,0,0,0,8,0,7,384,13.75,-19.5,4.27,4.86
Nathan Redmond,BUR,M,349.0,3.5,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,3,51,3.5,-0.5,0.57,6.14
Nathaniel Clyne,CRY,D,324.0,7.75,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,90,1.75,0.0,1.0,7.75
Nayef Aguerd,WHU,D,109.71,40.75,7,1,1,0,2,1,1,0,1,0,10,29,1,13,16,0,0,0,11,1,7,606,24.75,-29.5,6.73,6.05
Neal Maupay,BRF,F,288.0,10.5,1,0,1,0,6,0,4,1,0,0,0,2,0,0,1,0,0,0,4,1,5,160,10.5,-4.0,1.78,5.9
Neco Williams,NOT,D,279.0,11.25,1,0,1,0,0,2,4,0,0,1,6,1,1,1,2,0,0,0,1,0,2,107,11.25,-4.0,1.19,9.45
Nelson Semedo,WOL,D,199.5,26.75,8,0,2,0,1,12,6,4,0,4,11,23,13,4,4,0,0,0,14,1,8,713,20.75,-39.0,7.92,3.38
Nicolas Dominguez,NOT,M,223.67,25.0,3,1,0,0,2,7,0,0,0,0,2,6,0,0,4,0,0,0,3,1,3,259,15.0,0.0,2.88,8.68
Nicolas Jackson,CHE,F,119.57,56.0,6,2,6,0,8,5,11,5,0,0,2,5,13,2,7,0,0,0,5,3,7,554,38.0,-15.5,6.16,9.09
Nicolo Zaniolo,AVL,M,241.33,17.0,3,0,5,0,2,2,13,1,0,0,1,3,6,0,3,0,0,0,2,1,6,253,16.0,-8.5,2.81,6.05
Noni Madueke,CHE,F,364.0,2.5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,42,2.5,-0.5,0.47,5.32
Nuno Tavares,NOT,D,728.0,-3.25,1,0,0,0,0,2,0,2,0,1,0,3,1,0,0,0,0,0,2,0,3,91,-3.25,-8.0,1.01,-3.22
Odsonne Edouard,CRY,F,26.86,78.5,7,4,6,0,9,3,10,0,0,0,3,7,6,0,11,0,0,0,4,3,7,604,42.5,-5.0,6.71,11.7
Ola Aina,NOT,D,293.0,10.0,5,0,1,0,0,9,3,3,0,0,3,10,5,1,5,0,0,0,8,1,5,397,4.0,-23.5,4.41,2.27
Oleksandr Zinchenko,ARS,D,160.14,41.25,5,0,7,0,1,7,1,0,0,0,5,3,1,0,2,0,0,0,4,3,7,420,23.25,-8.5,4.67,8.83
Oliver McBurnie,SHU,F,191.0,30.5,4,0,3,1,5,1,6,1,1,1,2,7,2,1,27,0,0,0,10,0,5,376,24.5,-12.0,4.18,7.3
Oliver Norwood,SHU,M,163.71,37.5,6,0,7,0,2,13,3,2,0,1,4,10,0,3,8,0,0,0,16,0,7,519,37.5,-5.5,5.77,6.5
Oliver Skipp,TOT,M,714.4,-1.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,5,112,-1.0,-2.5,1.24,-0.81
Ollie Watkins,AVL,F,3.12,138.0,8,4,16,7,10,1,9,0,0,0,0,5,4,1,5,0,2,0,12,2,8,676,60.0,-4.5,7.51,18.38
Orel Mangala,NOT,M,255.43,19.5,7,0,3,0,0,5,7,3,0,0,11,3,2,2,2,0,0,0,7,2,7,559,17.5,-9.5,6.21,3.14
Oscar Bobb,MCI,M,291.0,10.5,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,3,47,4.5,-0.5,0.52,20.19
