,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
91,Manchester City Player Stats,WB,2,25.62,0.5,2.5,2.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.5,1.0,0.0,0.0,7.75,-0.62,1.0,1.0,43.38,52.25,22.25,-3.0,-1.0,-6.75,1.75
13,Aston Villa Player Stats,WB,2,20.5,1.0,1.0,0.5,1.5,1.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,0.0,8.88,-0.88,0.0,1.0,33.88,42.5,20.0,-4.5,-1.5,-2.25,2.75
6,AVL,WB,2,20.5,1.0,1.0,0.5,1.5,1.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,0.0,8.88,-0.88,0.0,1.0,33.88,85.0,40.0,-9.0,-3.0,-4.5,5.5
97,NEW,RB,1,15.36,0.0,3.16,0.63,0.0,0.89,0.26,0.0,1.84,0.63,0.79,0.53,0.0,0.0,0.0,1.05,0.42,0.63,1.74,0.11,0.0,10.34,-0.99,0.53,1.0,39.37,322.75,244.75,-54.0,-31.0,-48.25,35.25
104,Newcastle Utd Player Stats,RB,1,14.7,0.0,3.1,0.6,0.0,0.9,0.3,0.0,1.9,0.6,0.8,0.5,0.0,0.0,0.0,1.1,0.4,0.6,1.9,0.1,0.0,10.2,-1.1,0.5,1.0,39.3,162.5,127.0,-30.5,-15.5,-25.0,19.5
15,BHA,LB,3,12.5,0.12,2.12,0.75,0.38,1.12,0.5,0.0,0.88,1.38,1.12,0.12,0.0,0.0,0.0,1.5,0.0,0.88,2.75,0.12,0.0,8.31,-1.69,0.62,1.0,18.78,211.0,162.0,-53.0,-11.0,-29.0,26.0
36,Brighton Player Stats,LB,4,11.22,0.11,2.0,0.67,0.33,1.0,0.44,0.0,0.78,1.22,1.0,0.11,0.0,0.0,0.0,1.44,0.0,0.78,2.44,0.11,0.0,7.58,-1.58,0.56,1.0,18.5,108.0,83.5,-26.5,-7.0,-15.25,12.25
2,ARS,RB,2,10.88,0.11,1.05,0.11,0.47,1.47,0.11,0.0,0.63,0.95,1.58,0.74,0.0,0.0,0.0,0.74,0.47,0.11,0.95,0.11,0.0,8.04,-0.74,0.58,1.0,27.36,218.5,169.5,-29.0,-11.75,-16.75,15.0
119,TOT,RB,2,10.57,0.11,1.05,0.21,0.11,2.11,0.11,0.0,0.32,0.63,2.37,0.53,0.0,0.0,0.0,0.89,0.42,0.21,1.21,0.0,0.0,7.42,-1.17,0.42,1.0,21.75,203.25,147.25,-40.0,-2.5,-6.25,17.75
9,Arsenal Player Stats,RB,2,10.45,0.09,1.0,0.09,0.45,1.36,0.09,0.0,0.64,1.0,1.45,0.73,0.0,0.0,0.0,0.73,0.45,0.09,0.82,0.09,0.0,7.8,-0.7,0.55,1.0,26.66,119.5,94.5,-17.0,-4.5,-8.75,9.25
